6965260
/m/0gz33v
/m/0gz33v
Michael Crichton
2006-11-28
{"/m/06n90": "Science Fiction", "/m/06nbt": "Satire", "/m/017rf8": "Techno-thriller", "/m/0c082": "Utopian and dystopian fiction", "/m/02xlf": "Fiction"}
34a 1
34artistbiologist34 1
34cavemen 1
34jack34 2
34maturity34 1
34money 1
34waste34 1
a 38
abducts 1
abilities 1
abolish 2
about 2
academically 1
accelerated 1
accept 1
accidentally 1
according 1
accused 1
acquire 1
activities 1
adam 1
addictive 1
adjourns 1
administer 1
advantage 1
adventurer 1
advertisements 1
advertising 1
advise 2
african 1
after 9
against 3
age 1
agency 2
aggravated 1
aggressive 2
ago 1
alex 6
alex3 3
all 2
allows 1
also 5
ambulance 1
amendment 1
amusement 1
an 16
and 53
animal 1
animals 2
another 5
anticipates 1
any 1
appeal 1
appearance 2
appendix 1
applied 1
are 2
areas 1
arent 1
argues 1
arrest 1
article 1
artist 1
arts 1
as 16
associate 1
at 8
attack 1
attacks 1
attempts 2
attraction 1
attracts 1
audience 1
author 1
avant 1
away 1
backstory 1
backward 1
banker 1
basis 1
be 2
because 1
become 1
becomes 6
been 1
behave 1
behavior 3
behaviorally 1
being 1
bellarmino 2
billionaire 1
biogen 6
biogen3s 4
bioluminescence 1
biotech 1
biotechnology 1
bird 2
biting 1
blondes 2
blondes34 1
bolster 1
bond 1
bones 1
book 3
borden 1
bored 1
boss 1
both 2
bounty 1
boxes 1
brad 5
brad3s 3
brain 1
bringing 1
brother 1
bullies 1
burnet 1
business 1
but 8
buy 1
by 9
called 1
can 2
can3t 1
cancer 1
capitalist 1
capture 1
carelessness 1
carry 1
case 1
caused 1
celebrating 1
cell 2
cells 8
change 1
check 1
checkups 2
chick 1
chief 1
childhood 1
childlike 1
chimp 3
chimpanzee 1
chimpboy 2
claim 3
claims 1
classmates 1
client 2
clinic 1
clinic3s 1
clipping 1
close 1
columnist3s 1
combine 1
commentators 1
comments 2
company 5
company3s 1
competition 1
concludes 1
condemn 1
consent 1
conservation 1
conservationist 1
conservative 1
conservatives 1
conspires 1
constitution 1
consults 1
contacts 1
contaminate 1
contracted 1
control 1
corporate 1
corpse 1
corpses 1
corpses3 1
could 1
courtroom 1
cover 2
creates 1
cromagnon 1
cromagnons 1
cultures 2
damaging 1
danger 1
dave 5
dave3s 2
day 1
days 1
days3 1
decree 1
defender 1
defense 2
delivering 1
descendants 1
desperately 1
destroy 2
details 1
determined 1
developing 1
dial 1
die 1
dies 1
discover 1
disease 1
dispose 1
dissects 1
doctrine 1
domain 1
donate 1
donors 1
dr 1
drive 1
drugaddicted 1
due 1
dutch 1
ecologically 1
effective 1
eggs 1
embarrassment 1
eminent 1
end 1
ends 1
engage 1
engineered 2
environmentalist3s 1
escapes 1
escaping 1
even 1
eventually 2
everyone 1
evidence 1
except 1
experiment 1
experimental 1
expert 1
experts 1
explain 1
exposes 1
extinct 1
extinction 1
extract 2
extremely 1
facility 1
fails 1
falsely 1
family 2
famous 1
favor 2
feature 1
features 1
feelings 1
female 1
females 1
few 3
fiction 1
fictitious 1
fight 2
finally 1
financing 1
finds 4
first 1
flies 1
foiled 1
for 20
forbids 1
force 1
forced 1
form 2
fortunately 1
four 1
frames 1
frank 4
frank3s 6
french 1
friend 1
friends 2
from 7
gail 2
gail3s 1
gang 1
garde 1
gardens 1
gene 6
generally 1
genes 4
genetic 4
genetically 2
genetics 1
gerard 7
gerard3s 2
gets 2
girls 1
give 1
gives 2
giving 1
go 2
goes 1
going 1
gordon 3
grandson 1
grey 1
groom 1
grooms 1
grounds 1
had 3
hamper 1
hands 1
has 7
have 2
having 1
he 11
head 1
helping 1
henry 5
henry3s 1
her 7
hers 1
highrisk 1
him 11
himself 1
hires 1
his 16
home 4
homework 1
honored 1
hospital 1
household 1
however 2
human 4
humanlike 1
humans 2
hunt 1
hunter 1
husband 2
if 2
illegal 1
in 22
inclinations 1
increasingly 1
individuals3 1
infection 1
influential 1
injected 1
instead 2
instructs 1
intelligent 1
intends 1
intensive 1
interbred 1
interpretation 1
interspecies 1
into 7
introduction 1
investment 1
ironically 1
irrespective 1
irresponsible 2
irresponsibly 1
is 21
isolated 1
it 4
its 6
jamie 10
jamie3s 1
josh 2
journalists 1
judge 3
kendall 1
kendall3s 1
knockdown 1
lab 1
later 1
law 1
laws 1
lawsuits 1
lawyer 3
lawyer3s 1
lawyers 3
lay 1
laying 1
leader 1
learn 1
learned 1
leaves 1
lecherous 1
legislation 1
less 1
lest 1
leukemia 1
life 1
likely 1
line 1
lines 1
long 1
look 1
loquacity 1
loses 1
lurid 1
lynn 4
lynn3s 4
made 2
make 1
manipulator 1
many 1
martial 1
may 1
medical 1
medicine34 1
mediocre 1
milgram 1
mimics 2
minor 1
misuse 1
modern 1
modification 1
modifying 1
more 2
most 1
mother 3
mouth 2
move 2
moved 1
must 1
namely 1
narrow 1
naturallyoccurring 1
neanderthals 4
neanderthals3 1
nearly 2
nearperfect 1
necessary 1
need 1
nephew 1
news 1
next 1
nih 1
normal 1
novel 1
now 1
obscene 1
obtain 1
odd 1
of 45
off 1
often 1
old 2
on 9
one 2
only 2
opens 1
opposes 1
or 3
orangutan 4
order 1
organisations 1
organization 1
other 2
others3 1
out 3
outplays 1
overcaution 1
overdoses 1
overdue 1
overnight 1
own 1
owner 2
ownership 1
pair 1
parisbased 1
park 2
parrot 2
part 1
parts 1
passes 1
patents 2
patience 1
patients 1
patterns 1
people 1
physician3s 1
pity 1
planned 1
plans 2
plants 1
pleasanter 1
plot 1
point 1
police 1
politicians 1
praise 1
preacher 1
precedents 2
predators 1
preferred 1
present 1
press 2
pressures 1
pretext 1
previously 1
price 2
primate 1
private 1
procures 1
produce 1
produced 1
property 1
proposes 1
proscience 1
provide 1
providing 1
pure 1
quarrel 1
rape 1
rat 1
rather 1
receive 1
recklessness 2
records 1
reforms 1
regard 1
rejects 1
relatives 2
release 1
relevant 2
religious 2
reminds 1
replacement 1
report 1
reports 3
rescue 1
rescues 1
research 3
researcher 3
researching 1
resident 1
respiratory 1
response 1
result 2
resuscitation 1
retrieve 1
reunited 1
reverts 1
right 1
rights 3
roadside 1
robert 1
rules 2
run 3
ruthless 1
sabotage 3
same 1
samples 4
save 1
saves 1
school 3
schoolchildren 1
scientific 1
scientist 1
scientist3s 1
search 1
security 1
seize 1
selfnamed 1
sell 2
semiannual 1
senior 1
sent 1
series 1
severely 1
sex 1
shape 1
she 3
shot 2
shotgun 1
shout 1
skillful 1
skull 1
slants 1
slavery 1
snatch 2
snatches 1
sneaks 1
so 2
social 1
sold 1
some 2
son 5
son3s 1
sounds 1
sports 1
staff 1
stan 1
startup 1
states 2
steal 1
still 1
stolen 1
straight 1
strategy 1
stress 1
strongly 1
subjects 1
succeed 1
successful 1
successive 1
such 2
suing 1
sumatra 1
surroundings 1
taken 1
takes 1
talk 1
taste 1
taxfunded 1
teenage 1
telephone 1
terms 2
testing 1
than 2
that 25
the 84
their 6
them 2
themes 1
there 1
these 2
they 3
thirteenth 1
this 3
this34 1
threads 1
threatens 1
three 2
throat 1
thus 1
tissue 2
tissues 1
to 55
tones 1
too 1
tourists 1
tracks 1
tranquillizer 1
transfers 1
transgenic 2
treatment 4
trendsetting 1
trial 1
tries 2
trouble 1
trying 1
turtles 1
turtles3 1
two 1
twoyear 1
ultimately 1
unable 1
unauthorized 2
under 3
underwent 1
unexpectedly 1
unfair 1
united 2
university 4
unscrupulous 1
unusually 1
up 3
uploads 1
use 1
uses 2
various 1
vasco 6
vasco3s 1
venture 1
very 4
victim 1
violation 1
voices 1
vulnerable 1
warrant 1
was 4
watson 4
watson3s 2
welcomed 1
were 5
when 1
where 2
whether 2
which 4
while 10
who 8
whom 1
whose 1
wife 1
wikipedia 1
wild 1
will 1
wings 1
winkler3s 1
wins 1
wished 1
wishing 1
with 8
within 1
woman 1
working 1
would 2
writing 1
years 2
yet 1
young 1
