10309074
/m/02q81qz
/m/02q81qz
Beatrix Potter
1913
a 13
across 1
alexander 3
allows 1
alone 1
an 2
and 11
any 1
are 1
as 2
at 2
aunt 1
avoid 1
away 2
bacon 1
be 1
beautiful 1
become 1
been 1
being 1
berkshire 1
black 1
bland 5
boars 1
boundary 1
brother 1
but 4
by 2
can 1
cart 1
case 1
celebrate 1
chicken 1
come 1
confirmed 1
coop 1
cooperative 1
cope 1
county 1
course 1
dance 1
dawn 1
decided 1
discovers 1
distance 1
earlier 1
eaten 1
eight 1
ended 1
ends 1
escape 1
exception 1
fails 1
faking 1
far 1
farm 1
farmer 3
fears 1
finally 1
find 1
finds 1
flee 1
for 1
found 2
freedom 1
frivolous 1
from 1
gain 1
getting 1
go 1
going 1
grocer 2
gruff 1
ham 1
has 4
he 5
her 2
hills 1
him 1
his 6
home 1
house 2
in 9
instead 1
intends 1
into 1
is 6
issued 1
later 1
leave 1
license 1
limp 1
longer 1
loses 1
lost 1
made 1
makes 1
manage 1
market 2
missing 1
more 1
morning 1
named 3
new 1
night 1
no 1
not 1
of 4
off 1
offspring 1
old 1
on 1
once 1
or 1
over 1
owner 1
pair 1
papers 1
passing 1
peter 1
pettitoes 1
pig 4
pigling 6
pigs 1
pigwig 2
piperson 2
pocket 1
policeman 1
potato 1
produce 1
quickly 1
recently 1
recognises 1
reluctantly 1
result 1
return 1
reward 1
run 1
safe 1
scuffle 1
second 2
sensible 1
sneak 1
so 1
sold 1
sow 3
spend 1
spot 1
stay 1
stolen 2
stranger 1
suggests 1
sure 1
that 2
the 17
their 2
them 3
they 4
thomas 1
thus 1
time 1
to 13
tries 1
troublemaking 1
trustworthy 1
turn 1
two 2
up 2
very 1
was 1
wellbehaved 1
when 2
where 1
which 1
who 3
whom 2
with 4
wont 1
woods 1
worse 1
