6799620
/m/0gpjxp
/m/0gpjxp
Ian Fleming
1956-03-26
{"/m/06wkf": "Spy fiction"}
007 1
a 17
abc 2
aboard 2
about 1
acting 1
africa 1
after 4
agent 2
also 1
american 1
an 5
and 15
antipathy 1
appointment 1
as 6
assignment 1
assisted 1
at 3
attack 1
attractive 1
be 3
before 1
begins 1
being 1
betting 1
blackjack 1
board 2
bond 16
both 1
branch 1
bribe 1
bribes 1
british 1
brothers 1
burglar 1
by 8
california 1
calls 1
captured 1
case 6
casino 1
cia 1
city 1
collapse 1
contact 1
continuing 1
country 1
crash 1
crooked 1
dealer 1
dentist 2
details 1
detective 1
developed 1
diamond 3
diamonds 5
discovers 1
disobeys 1
down 3
during 1
earn 1
elizabeth 1
embarkation 1
enquire 1
ensure 1
escapes 1
eventually 1
explain 1
extract 1
failure 1
far 1
fee 2
felix 1
finally 1
flies 1
followed 1
follows 1
for 1
former 1
franks 1
freetown 1
from 7
further 1
gamble 1
game 1
gang 1
gangraped 1
gangsters 1
german 1
ghost 1
go 3
gobetween 1
goes 1
has 1
he 8
headquarters 1
helicopter 2
help 1
her 3
him 1
himself 1
his 7
homosexual 1
horse 2
hotel 2
house 1
how 1
however 3
identity 1
in 8
infiltrating 1
information 1
informs 1
instructed 1
instructions 1
investigating 1
is 8
it 2
its 1
jack 2
james 1
jockey 2
kidd 2
kidnap 1
kill 1
killed 1
killing 1
kills 1
known 1
las 1
leiter 3
leone 2
like 1
line 1
london 4
look 1
m 2
makes 1
may 1
meet 1
meets 2
men 1
miners 1
mines 1
mob 2
money 1
mouths 1
murdersuicide 1
must 1
mysterious 1
named 1
nearby 1
new 3
next 1
observe 1
of 8
old 2
on 5
operated 1
operates 1
orders 1
out 1
overboard 1
owed 1
own 1
owned 1
owns 1
paris 1
participants 1
pay 2
payment 2
person 1
peter 1
pilot 1
pinkertons 1
pipeline 5
place 1
planning 1
plant 1
plot 1
possible 1
precaution 1
private 2
pursuit 1
pushcar 1
queen 1
race 2
racing 1
railway 1
received 1
receives 1
rendezvous 2
rerouts 1
rescues 1
responsible 1
rest 1
restored 1
resulting 1
retreat 1
returning 1
rig 1
rigged 2
ring 2
routine 1
run 1
running 1
ruthless 1
saratoga 2
secret 1
sent 1
seraffimo 3
service 1
shady 2
shoots 2
shuts 1
side 1
sierra 2
smuggle 2
smuggler 1
smuggling 3
spang 8
spangled 2
special 1
spectreville 2
states 1
subsequently 1
superior 1
suspects 1
take 1
takes 1
tasks 1
teenager 1
telephone 1
that 2
the 36
their 2
them 1
then 2
there 3
they 2
those 1
through 2
throw 1
thugs 1
tiara 2
tiffany 3
to 27
told 1
tortured 1
towards 1
town 1
train 2
travel 2
tree 2
turned 1
turns 1
two 1
uncover 1
united 1
using 1
vacation 1
vegas 1
via 1
western 2
when 2
where 5
which 1
who 2
winning 1
wint 2
with 5
witnesses 1
working 1
would 5
york 3
