2883349
/m/088zvp
/m/088zvp
Eugene O'Neill
1925
a 2
abandons 1
abbie 4
admitting 1
adulterous 1
affair 1
after 1
an 3
and 7
as 3
bears 1
beautiful 1
become 1
before 1
believe 1
belonged 1
birthright 1
brightest 1
but 3
buys 1
cabot 1
california 1
child 2
confessing 1
cuckold 1
depths 1
distraught 1
eben 5
england 1
enraged 1
enters 1
ephraim 4
farm 4
father 1
fearful 1
feels 1
for 1
fortune 1
from 1
future 1
greed 1
halfbrothers 1
hate 1
he 1
head 1
headstrong 1
her 2
him 2
himself 1
his 11
hopes 1
in 3
infant 1
infanticide 1
into 1
is 3
it 2
kills 1
later 1
lets 1
love 2
madly 1
mock 1
money 1
mother 1
neighbors 1
new 2
not 1
oblivious 1
obstacle 1
of 3
off 1
openly 1
originally 1
out 1
over 1
own 1
peter 1
proud 1
relationship 1
returns 1
role 1
securing 1
seek 1
share 1
shares 1
sheriff 1
sibling 1
simeon 1
sons 1
soon 1
stolen 1
that 1
the 12
their 2
three 1
thus 1
to 7
turns 1
who 2
widower 1
wife 1
with 5
would 1
youngest 1
