289586
/m/01qdlp
/m/01qdlp
Ian Fleming
1965-04-01
{"/m/06wkf": "Spy fiction"}
00 1
45 1
a 19
after 2
agent 2
agents 1
ally 1
also 2
america 2
american 1
amnesia 1
an 2
and 16
appears 1
are 2
as 4
assassin 1
assassination 1
assigned 1
assistant 1
at 2
attempt 2
be 1
because 1
become 1
been 1
behind 1
believed 1
between 1
blofeld 2
bond 17
bordello 1
brainwashed 1
british 1
bugs 1
bullets 1
but 2
by 3
caribbean 1
casinos 1
castle 1
cause 1
chance 1
choice 1
cia 1
claiming 1
colt 1
confirmed 2
confrontation 1
consists 1
conspirators 1
crop 1
cuban 2
cyanide 1
debriefing 1
demands 1
deprogrammed 1
derringer 1
destabilise 1
destroying 1
developed 1
development 1
discovers 1
drugs 1
during 1
duty 1
electrical 1
eliminate 1
engaged 1
engineer 1
england 1
entertain 1
ernst 1
escapes 1
fails 1
felix 1
final 1
fire 1
fires 1
fisherman 1
following 1
for 1
francisco 1
friction 1
from 1
gangsters 2
given 1
gives 1
gold 1
golden 2
goldplated 1
group 1
gun 1
had 1
halfbuilt 1
has 2
have 1
having 1
hazard 1
he 4
head 2
help 1
hidden 1
him 5
his 6
hit 1
hotel 1
however 2
identity 3
impossible 1
in 9
increase 1
industry 1
injury 1
interests 1
interview 1
into 4
investors 2
involved 1
is 11
island 1
jacketed 1
jamaica 2
jamaican 1
james 1
japan 2
japanese 1
kgb 3
kill 3
killed 1
killing 3
known 1
last 1
learn 2
learns 2
leiter 2
lived 1
local 1
locates 1
london 1
lulls 1
m 4
makes 1
man 2
manages 2
marina 1
mark 1
meet 1
meeting 1
member 1
mexico 1
mission 2
months 1
most 1
name 1
neck 1
new 1
now 1
of 10
offguard 1
on 3
operating 1
ostensibly 1
other 1
over 1
people 1
personal 1
pistol 1
pistols 1
plans 2
prostitutes 1
pursues 1
recalled 1
reprove 1
resort 1
returning 1
returns 1
riding 1
room 1
running 1
scaramanga 12
scheme 1
secret 2
section 1
seemingly 1
sends 1
service 2
setting 1
several 3
shoots 2
sightseeing 1
silver 1
smuggling 1
solid 1
soviet 1
stavro 1
suffered 1
sugar 2
swamps 1
syndicate 1
tables 1
temporary 1
that 6
the 27
there 1
they 2
times 1
to 16
tourists 1
train 1
travelled 1
tries 1
true 2
turn 1
under 1
undercover 1
union 1
up 1
upon 1
value 1
was 1
weapon 1
weekend 1
western 1
when 1
where 1
which 1
while 4
who 3
will 1
with 7
working 2
worth 1
wounded 1
year 1
