2417687
/m/07bn88
/m/07bn88
Isabel Allende
2005-05-01
1840 1
a 46
abided 1
abuse 1
accepts 1
acknowledge 1
acreage 1
acrobatics 1
act 1
adversary 1
affair 1
affections 1
after 8
against 1
age 1
agree 1
agreed 1
agrees 5
aided 1
alcalde 1
alejandro 12
allende 1
allow 2
allowed 1
allows 1
also 7
alta 2
amalia 3
america 1
americas 1
amputate 1
an 14
ana 4
and 81
animal 1
anyway 1
appears 1
approach 1
are 11
arm 1
around 2
arrange 2
arrest 2
arrested 2
arrests 1
arrival 1
arrive 1
arriving 1
as 18
ask 1
asks 1
assemble 1
assigned 1
at 5
atlantic 1
attack 1
attacked 3
attackers 1
attacks 2
attempt 2
attendance 1
auction 1
aversion 1
await 1
baby 2
back 1
baptized 1
barcelona 4
barracks 3
be 6
bear 1
beautiful 1
became 1
become 3
becomes 2
been 2
before 2
befriend 1
befriends 1
begin 1
begins 5
being 3
bequeaths 1
bernando 1
bernardo 18
birthday 1
birthing 1
blossoms 1
board 1
both 1
boy 1
boys 4
breastfed 1
broken 1
brothers 1
brutally 1
bullied 1
but 5
buy 4
by 13
california 4
callis 1
can 1
captain 4
capture 1
care 1
cares 1
catherine 5
causes 1
celebrate 1
challenge 1
chance 1
changes 1
chapter 1
chavalier 1
chief 4
child 1
childhood 1
chosen 1
chronicles 1
circus 1
city 4
ciudadela 1
close 1
closet 1
clothing 1
colt 1
comes 1
compensation 1
complicated 1
condition 1
confirms 1
contemplate 1
continue 1
contraband 1
convalescing 1
convert 1
converted 1
converts 1
convince 1
convinces 2
costume 1
country 1
creole 1
crew 1
crosswise 1
cuba 1
currently 1
danger 1
daughter 1
daughters 1
days 1
de 13
dealing 1
deals 1
decide 3
decides 2
declines 1
defeat 1
defeated 1
defend 1
defends 1
deliver 1
demands 1
denounced 1
devoted 1
died 1
diego 57
disband 1
discourage 1
disguise 1
does 1
don 2
dona 1
draught 1
dream 1
dressed 2
drink 1
drug 1
duchamp 2
due 1
duel 2
during 3
each 1
earlier 2
early 2
effort 1
either 1
emissary 1
employed 1
encounters 1
enough 2
enter 1
epilogue 2
escalante 7
escalates 1
escape 1
eulalia 6
events 2
everyone 1
except 1
exception 1
execution 2
exiled 1
experienced 1
experiences 1
expose 1
extravagant 1
eyes 1
fages 4
famed 1
fate 1
father 4
favor 1
fencing 4
few 2
fifteenth 1
fifty 1
fight 2
fighting 1
find 3
fires 1
first 2
five 1
flee 1
following 1
food 1
foot 1
for 11
forced 2
forest 1
form 2
formal 1
formation 2
fox 3
france 1
franciscan 1
freed 1
freedom 3
french 2
friend 1
friends 1
friendship 1
frightened 1
from 9
future 1
gabriel 2
gain 1
gaining 1
gambling 1
garcia 1
gems 2
gifts 1
girls 7
given 1
go 2
goes 3
gold 1
golden 1
governor 1
grants 1
grateful 1
gray 2
ground 2
group 1
guide 3
gypsies 7
gypsy 1
hacienda 2
had 2
has 6
have 5
having 1
he 17
head 1
held 3
help 1
her 12
here 1
hidden 1
high 1
him 7
himself 1
his 24
hits 1
home 3
hope 1
horse 1
hostage 1
hostages 1
hours 1
house 1
however 2
humiliated 1
hurting 1
identified 1
immediately 1
impending 1
in 28
including 1
indian 5
indians 2
indication 1
influence 1
informs 1
initiation 1
instead 1
intervene 1
intimate 2
into 6
investigate 1
invites 2
is 35
isabel 5
issues 1
it 4
jean 1
jewels 3
join 1
joins 1
journey 2
juliana 18
justice 2
justicia 7
kept 1
kindness 1
la 11
labor 1
lady 1
lafitte 8
land 1
landscape 1
large 1
last 1
later 3
lavish 1
le 1
lead 1
learn 2
learns 3
leave 6
leaves 1
leaving 1
led 1
left 1
leon 3
less 1
lessons 1
let 2
letter 1
life 4
lightinthenight 1
lightning 1
likely 1
liquor 1
live 3
local 2
loss 1
louisiana 1
love 1
made 1
maestro 3
magic 1
main 1
manuel 2
many 1
marriage 1
married 1
marry 4
materials 1
maturity 1
meaning 1
medallion 2
medallions 1
meet 1
meets 3
members 4
men 2
mendoza 4
met 1
mexico 1
military 1
milk 1
mission 4
missions 1
mistress 1
moment 1
moncada 17
money 2
months 2
more 4
most 1
mother 5
motherless 1
mourning 1
murdered 1
mute 1
name 1
named 4
names 1
napoleon 2
neck 1
necks 1
neither 1
nephew 1
never 1
new 2
night 2
not 1
novel 1
obese 1
oblivious 1
occupied 1
of 33
offers 2
old 2
on 9
once 1
one 4
opens 1
opportunity 2
or 2
organization 1
organizes 1
origins 1
orleans 1
other 2
out 1
owl 1
own 2
owner 1
padre 4
palace 1
panama 2
papers 1
part 3
parties 1
parts 1
party 2
passes 2
patriotism 1
peace 1
pedro 2
people 2
perform 1
physically 1
pierre 1
pilgrims 1
pirate 1
pirates 2
pistols 1
political 1
port 3
post 1
potion 1
pregnancy 2
priest 2
prisoner 1
property 1
proposes 1
protection 1
prove 1
provide 2
pursue 1
pursuit 1
questions 1
rafael 1
raise 1
ransom 1
raped 1
reached 1
reaches 1
receive 1
receives 1
receiving 1
recognized 1
recognizes 2
recover 2
recuperates 1
regina 8
reintroduced 1
release 3
relieved 1
religion 1
reluctanly 1
reluctant 1
rely 1
remain 1
renamed 1
require 1
required 1
requires 1
rescue 2
residing 1
resigned 1
responsible 1
rest 1
restrictions 1
result 1
retires 1
returns 2
reveal 1
revealed 1
reveals 1
ribs 1
rich 1
rigging 1
rivalry 1
romance 1
romantically 1
romeu 6
room 1
run 1
sail 1
sailors 1
same 1
san 2
santiago 1
satisfied 1
savage 1
saves 1
scatter 1
scheme 1
schooling 1
sea 1
seasoned 1
secret 3
secure 2
sees 3
seized 1
selling 1
sent 2
separation 1
series 1
servants 1
serving 1
set 1
several 2
sewn 1
share 1
she 12
shelter 1
ship 3
shipmates 1
ships 1
shot 2
sights 1
sign 1
significant 1
signs 1
since 1
six 2
slaves 2
sleeping 2
smitten 1
smooth 1
sneaks 1
so 2
society 1
soldier 1
soldiers 1
sometime 1
son 1
soon 1
spain 4
spanish 1
spent 1
spies 1
spikes 1
spirit 2
split 1
spot 1
stage 2
story 1
street 1
strict 1
strikes 1
struck 1
stubborn 1
study 1
subdued 1
successful 2
suffering 1
surprisingly 1
swinging 1
sympathizer 2
take 2
taken 2
takes 6
teaches 1
tells 2
terms 1
test 3
tested 1
than 1
that 15
the 108
their 15
them 5
then 8
there 1
these 1
they 18
thinking 1
this 5
threat 1
three 1
through 1
time 1
to 98
today 1
together 1
tomas 2
tomboyish 1
tornado 1
totemic 1
toypurnia 3
train 1
training 2
traumatizing 1
travel 4
travels 1
trek 1
tribe 1
trickery 1
two 3
unable 1
unbeknownst 1
under 2
undergo 2
until 2
unusual 1
up 1
upon 4
use 2
used 1
using 1
utilizes 1
vega 3
viewed 1
views 1
visit 2
visits 2
waiting 1
warns 1
warrior 1
was 11
watch 1
way 2
ways 1
wear 1
wears 1
wed 1
weeks 1
well 2
what 1
when 4
where 6
which 12
while 2
white 1
who 18
whom 1
wife 1
will 3
win 1
with 24
wolf 2
woman 4
womb 1
would 2
wounded 1
years 1
young 3
zorro 5
