7386834
/m/02603zr
/m/02603zr
Kiran Desai
2006
186 1
a 9
abandons 1
accepted 1
action 1
adopted 1
after 1
all 1
an 4
and 15
anger 1
anglicised 1
as 2
at 4
awe 1
backdrop 1
be 1
becoming 1
between 3
biju 3
both 1
breaks 1
british 1
by 1
centered 1
chapatis 1
character 1
characters 2
closely 1
colonialism 1
conflict 1
conflicts 1
considered 1
cook 2
customs 1
desai 1
disgusted 1
displaying 1
dog 1
eats 1
education 1
effects 1
embody 1
english 3
father 2
follows 1
for 2
forgotten 1
fork 1
generations 1
girl 2
gorkhaland 1
grandfather 4
groups 1
hates 1
have 1
having 1
he 3
her 3
his 3
historic 1
identity 1
illegal 2
immigrant 2
in 9
including 1
india 3
indian 5
indians 3
individuals 1
internal 1
is 9
it 1
jemubhai 2
journey 1
judge 2
kalimpong 1
knife 1
leading 1
life 4
living 4
loss 2
lost 1
main 1
major 1
make 1
man 1
mannerisms 1
many 1
maternal 1
money 1
mountainous 1
movement 1
much 1
mutt 1
named 1
narration 1
never 1
new 1
novel 4
of 15
on 1
one 1
opportunities 1
past 1
patel 1
place 2
points 1
postcolonialism 1
present 1
rejection 1
related 1
retired 2
running 1
sai 4
sense 1
show 1
showing 1
shown 1
shows 1
snobbery 1
so 2
son 1
spite 1
squalor 1
states 1
story 1
switches 1
takes 1
text 1
that 1
the 31
their 1
theme 1
there 1
those 1
through 2
throughout 1
ties 1
to 3
too 1
torturing 1
traditional 1
traditions 1
travels 1
trying 1
two 1
united 1
us 2
used 1
versa 1
vice 1
view 1
way 3
ways 2
were 1
whilst 1
who 5
whom 1
wife 1
with 5
within 1
works 1
yet 1
