1051237
/m/041qmv
/m/041qmv
Arthur Koestler

a 2
about 2
allowed 1
and 5
another 2
are 2
as 2
at 4
attachment 1
babylonians 2
back 1
be 1
been 1
behave 1
beliefs 1
best 1
between 1
book 3
breaking 1
by 2
central 1
changing 1
cherished 1
childhood 1
colourful 1
conclusion 1
contradictory 1
create 1
did 1
disc 1
earnestly 1
egyptians 1
end 1
estranged 1
existed 1
explores 1
faith 1
floating 1
forward 1
goes 1
greatest 1
greeks 1
groundbreaking 1
hard 1
harmoniously 1
have 1
he 6
his 2
hold 1
homer 1
how 2
ideas 2
illustrates 1
in 5
included 1
instead 1
intellectuals 1
into 1
is 5
it 1
koestler 2
left 1
looking 1
looks 2
love 1
many 1
modern 1
more 1
most 1
new 1
of 8
off 2
often 1
okeanus 1
old 1
on 1
ones 1
onto 1
order 1
over 1
oyster 1
paradigms 1
past 1
people 1
philosophy 2
puts 1
ratiocinate 1
rational 1
reason 1
recurrent 1
refuse 1
relationship 1
replace 1
science 1
scientists 2
see 1
seemingly 1
sleepwalkers 2
spiritual 1
starts 1
states 1
such 1
surrounded 1
talk 1
that 5
the 20
their 2
them 1
theme 2
themselves 1
these 1
they 2
thinkers 1
this 1
threads 1
to 7
today 1
too 2
took 1
truth 1
trying 2
two 1
very 1
were 1
west 1
when 2
where 1
while 1
with 1
world 3
wrong 1
