12188588
/m/02vtv91
/m/02vtv91
Candace Bushnell
2003
{"/m/03h09f": "Chick lit", "/m/01qxvh": "Romance novel"}
a 19
accepted 1
admired 1
affair 1
ambition 1
an 6
and 13
angeles 1
any 2
are 1
argentinian 1
around 1
as 6
aspirations 1
at 2
attempt 1
attempts 1
attract 1
beautiful 1
become 1
befriends 1
begin 1
begins 2
blondes 1
breaking 1
brotherinlaw 1
business 1
but 1
by 3
cable 1
callousness 1
career 1
casual 1
ceo 1
circles 1
closing 1
comeuppance 1
conquer 1
consummate 1
continually 1
contract 1
cool 1
cost 1
countenance 1
couples 1
crudelywritten 1
dating 1
deplored 1
determination 1
determined 2
digger 1
does 1
dominated 1
earlier 1
elite 1
embark 1
enamored 1
end 1
ends 3
european 1
eventually 1
expected 1
feared 1
first 1
flagging 1
fleeing 1
for 1
fortunately 1
four 1
friend 1
from 1
george 1
get 2
gets 1
gold 1
grasping 1
hamptons 1
hands 1
hard 1
has 1
have 1
headed 1
her 12
hollywood 3
husband 1
in 8
include 1
including 1
indiscretion 1
instead 1
into 2
introduces 1
is 14
isnt 1
it 3
janey 12
justified 1
kilroy 2
known 1
lingerie 1
looks 2
los 1
make 1
male 1
managed 1
maneuver 1
many 1
married 1
means 2
media 3
member 1
men 1
mimi 2
model 3
mogul 2
mogulstarlet 1
more 1
movie 2
movietime 1
necessary 1
network 1
new 4
note 1
novel 1
now 1
of 10
old 1
older 2
on 2
one 1
only 1
operate 1
own 2
pages 1
past 2
path 1
paxton 1
people 1
player 1
poised 2
polo 1
popular 2
powerful 3
producer 2
prostitute 1
publicly 1
quickly 1
quite 1
rather 1
reputation 2
revealed 2
revived 1
right 1
rock 1
rose 1
ruined 1
runway 1
ruthlessness 1
scene 2
scorned 1
screenplay 1
secret 1
seducer 1
selden 4
semiprostitute 1
sense 1
shameless 1
she 4
show 1
sister 1
slightly 1
social 2
spending 1
splits 1
star 1
stars 1
still 1
story 1
struggles 1
summer 1
tale 2
television 1
that 2
the 17
there 1
this 1
those 1
through 1
to 13
tool 1
top 2
torrid 1
trading 1
triumphant 1
unexpectedly 1
uninterested 1
up 1
upandcoming 1
uses 1
using 1
victoria 1
wants 1
was 1
way 1
welldeserved 1
whatever 1
when 1
where 1
while 1
who 3
whose 1
wife 1
wilcox 4
wins 1
wiser 1
with 7
woman 1
world 1
written 1
years 1
yet 1
york 2
young 1
younger 1
zizi 3
