8635177
/m/027bxzt
/m/027bxzt
Louis Sachar
1995-04-27
12th 1
15 1
1500 1
18th 1
1th 3
20 1
20th 1
243 1
25 1
60 1
a 73
abbot 1
ability 2
able 1
about 6
abscond 1
accidentally 1
accordingly 1
action 1
acts 1
actually 1
additional 1
adds 1
african 1
after 5
afterward 1
again 3
aka 1
all 6
almost 1
also 8
although 2
always 2
an 11
and 59
anger 2
ankle 1
announcement 1
announces 2
answer 1
anywhere 1
appear 1
appeared 1
appears 1
appointment 2
are 3
around 1
arrives 3
as 10
asked 1
asks 1
assignment 1
assigns 1
at 10
attach 1
attempt 1
attempted 1
attempts 1
australia 2
aversion 1
aware 1
away 1
baby 4
back 2
bad 4
baking 1
ball 6
balls 1
banking 1
banned 1
based 1
bath 1
be 6
bean 1
became 2
because 6
becomes 1
been 2
before 1
began 1
begins 1
being 5
believe 1
believes 1
belonged 1
below 1
best 1
between 2
bitter 1
black 2
blacktop 1
blah 1
bled 1
blisters 1
blue 2
board 1
book 2
boring 1
borrowed 1
borrows 1
both 1
bounce 1
boy 1
boyfriend 1
break 1
breaking 2
breaks 2
breath 1
bring 2
brings 1
broke 2
bulb 2
burdock 1
burs 1
but 14
by 13
cafeteria 1
call 3
calls 3
came 2
can 8
candy 1
care 1
cases 1
catches 1
catching 1
causing 1
cavities 1
certificates 1
change 1
changes 2
chapter 7
children 3
christmas 1
cigarettes 1
claims 2
class 10
classmate 2
classmates 1
classroom 1
claus 2
cleanshaven 1
cleared 1
closes 1
coffee 1
coffeepot 3
color 1
come 1
comes 1
command 1
commands 1
complain 1
completing 1
concrete 1
confession 1
confirmed 1
consequently 1
continually 1
continuation 1
continues 1
control 1
cook 1
cookies 1
correctly 1
costello 1
could 1
couldnt 2
counselor 2
cow 2
cows 2
credited 1
dalton 1
dark 1
dated 1
dating 1
day 2
days 1
decides 2
declares 1
deedee 1
dental 2
dentist 1
despite 1
destroys 1
developed 1
dictionary 1
did 1
didnt 1
different 1
disappears 1
disappointing 1
discovery 1
dislikes 1
distracts 1
ditched 1
do 4
doctor 1
does 2
doesnt 4
doing 1
dont 1
door 3
double 2
down 3
dr 7
drawback 1
drazil 16
drills 1
due 1
each 1
ear 5
earning 1
ears 2
easygoing 1
eat 1
edison 1
either 1
elementary 1
elephant 1
elevators 2
else 1
end 2
ending 2
enemy 1
ensue 1
entered 1
entire 1
equal 1
erics 1
escapes 1
especially 1
event 1
events 1
ever 1
every 3
everybody 2
everyone 2
exact 1
except 1
experiment 1
explanation 1
explicitly 1
expresses 1
extended 1
extraction 1
eyes 1
face 2
falling 2
falls 1
far 1
fastest 1
fedup 1
feel 3
feeling 1
feet 2
fellow 1
feud 1
few 1
fido 1
filthy 1
finally 3
find 1
first 5
floor 1
flowers 2
for 10
forced 1
forces 1
forcing 1
forgets 2
former 1
forward 1
found 1
from 12
fun 1
further 1
game 1
genuine 1
get 4
gives 1
glopper 1
gluing 1
glum 1
go 2
goes 1
going 3
good 1
goozack 1
gorf 10
got 3
gray 1
grow 2
guilty 2
habits 1
had 5
handbook 1
happy 1
has 7
hated 1
hateful 1
have 2
having 3
he 31
head 4
hear 3
heard 3
hearing 1
hears 3
hearts 1
helps 1
her 38
him 8
his 35
hit 1
hits 1
home 1
homework 6
house 1
howard 5
however 1
human 1
humbug 1
hurting 1
husband 1
hypnotize 1
in 28
including 1
infamous 1
inflated 1
installed 1
installment 1
instead 2
insults 1
intending 2
intent 2
intentionally 2
interrupted 1
into 5
introduces 1
invented 2
invention 1
invents 1
irate 1
irritation 1
is 30
isnt 1
it 19
jamaica 1
jane 9
jason 3
jewls 4
joy 1
jumps 1
just 1
kathy 4
keep 1
kendall 1
kept 2
key 1
kids 2
kidswatter 6
knows 1
lands 1
late 1
later 2
laugh 1
lawsuit 1
lawyer 1
layer 1
leaves 1
leaving 1
left 3
leslie 5
let 2
licks 1
light 2
like 2
line 1
listening 2
literally 1
little 1
lived 1
longer 1
looks 1
loses 1
loss 1
lost 2
louis 10
love 3
loved 1
loves 1
mac 3
maggotinfested 1
magnificent 1
make 5
makes 3
making 3
malevolent 1
man 4
manmade 1
maurecia 3
may 1
meeting 1
memorized 1
men 1
mentioned 2
message 1
mimic 1
minutes 1
miserable 1
miss 11
missed 2
moment 1
money 1
monkey 2
moo 1
more 1
mother 1
motorboat 1
moustache 2
moving 1
mr 15
mrs 21
ms 2
mthe 1
mush 2
must 4
mustachioed 1
nailing 1
name 2
named 3
names 1
nasty 1
need 1
needs 2
neither 1
never 3
new 4
nice 7
niceness 1
no 2
nogard 8
nor 1
nose 6
nostril 1
not 9
note 3
notebook 3
notes 1
novel 1
now 2
number 3
occupation 1
of 28
off 5
office 1
often 1
old 3
on 14
once 1
one 8
only 4
onto 2
open 1
opening 1
or 5
orange 1
order 1
other 2
out 3
over 3
own 1
owners 1
pa 1
page 3
pages 1
paint 1
painted 1
paradoxical 1
parents 1
particular 1
paul 5
pay 2
payne 3
peel 1
pencil 5
people 6
pepper 1
perfectly 2
performs 1
person 3
personality 1
pet 2
pets 2
phone 1
pickell 1
pickellpickle 3
pickle 2
picklelike 1
picture 1
pie 1
pigtails 2
play 2
player 1
playground 2
plays 1
plot 1
plus 1
poems 1
poetry 1
point 2
points 4
poop 1
portrayed 1
potato 1
potatoes 2
practicing 1
presence 1
presumably 1
previous 3
previously 2
principal 2
procedures 1
product 1
professional 1
properly 1
psychiatrist 1
psychiatry 1
pull 1
pulled 1
purposefully 1
purposely 1
pursues 1
pus 1
puts 1
question 1
questions 1
quit 2
quite 1
race 1
ran 1
rattlesnakes 1
reaches 1
read 1
reading 2
realize 1
realizes 1
really 1
reason 1
redoing 1
reemerges 1
refuses 3
removed 1
removing 1
repeat 1
repeatedly 1
requires 1
return 2
returned 1
returns 1
revealed 2
reveals 1
rid 2
rightful 1
ripped 1
ron 2
row 1
rowboat 1
rub 2
sack 2
said 1
same 2
santa 2
say 2
saying 2
says 8
school 17
score 2
scores 1
scottish 1
second 1
see 2
seems 1
seen 2
sent 1
sharpener 3
shave 2
she 27
shoelace 3
shoelaces 3
shoes 6
show 1
shows 2
shy 1
shyness 1
sides 1
similar 1
since 1
skin 1
slap 1
smashing 1
smith 6
smoking 1
sneeze 1
sneezes 1
snorting 1
so 3
some 1
something 2
somewhere 1
son 2
soon 1
speak 1
special 1
specific 1
speech 1
speed 1
spills 1
spiteful 1
start 1
started 1
stated 2
stating 1
steal 1
stern 1
still 1
stone 1
stop 1
stories 2
storms 1
story 3
stranger 1
strict 1
string 1
student 1
students 6
stupid 1
substitute 2
substitutes 1
such 3
suggested 4
suggestion 1
supervisor 1
system 1
take 4
taken 1
takes 1
talent 1
talks 1
taste 1
tasted 1
teach 1
teacher 4
teeth 3
tell 4
telling 1
tells 2
termed 1
test 1
than 1
that 29
the 115
their 6
them 6
then 6
therapy 1
there 2
they 9
thing 1
things 3
think 2
third 4
this 6
thomas 1
thoughts 7
three 2
throw 3
thrower 2
throws 2
thus 6
time 5
title 1
to 74
todd 1
told 1
took 1
tooth 2
top 1
torn 1
touching 1
trash 1
trees 1
tries 1
tripped 1
troubles 1
tummy 2
turn 2
two 2
ultimately 2
under 1
undone 1
unlikeliness 1
unnecessary 1
unrealized 1
until 4
untraceable 1
unusable 1
unusual 2
up 6
upon 3
urge 1
use 2
used 2
uses 2
using 1
usually 1
vacation 1
validated 1
velcro 4
very 2
visit 2
voice 3
voices 6
wall 2
want 1
was 7
wasnt 2
watching 1
wayside 4
wayuphigh 2
well 1
wendy 4
were 2
what 1
when 15
whenever 1
where 3
whereabouts 1
which 4
while 1
who 14
whom 1
why 1
wide 1
will 4
win 1
window 2
with 20
without 2
woman 1
women 1
word 7
work 1
world 1
worms 1
would 2
written 1
wrong 2
xavier 2
yard 1
years 2
zarves 3
