12641795
/m/02wz6p_
/m/02wz6p_
Bernard Werber
1992
17 1
a 4
afraid 1
again 1
among 1
an 1
and 3
ant 2
ants 4
are 4
as 1
been 1
behind 1
by 1
charge 1
circumstances 1
city 1
combine 1
committed 1
communication 1
connected 1
daughter 1
day 1
dead 1
deceased 1
detective 1
edmond 2
explanation 1
find 1
food 1
found 1
given 1
growing 1
happening 1
has 3
how 1
human 1
humans 2
in 6
including 1
insecticides 1
interspecies 1
is 1
its 1
just 1
knowledge 1
meanwhile 1
murders 3
nest 2
new 1
no 1
of 12
or 1
order 1
others 1
out 1
paris 1
passed 1
peculiar 1
people 1
pioneer 1
place 1
plotlines 1
police 1
predecessor 1
producers 1
queen 1
relatives 1
several 3
since 2
smaller 2
some 1
still 1
strange 1
supplies 1
take 1
the 13
their 1
these 1
time 1
to 2
trapped 1
under 1
wells 2
were 1
what 1
when 1
which 1
while 1
who 1
wolffearing 1
woman 1
world 1
year 1
