4576376
/m/0c9pcq
/m/0c9pcq
Peg Kehret
2004-11
a 2
about 1
allows 1
always 1
and 2
apprehended 1
are 1
at 1
attempt 1
baseball 2
be 1
bonnie 2
both 1
boy 1
brags 1
brother 1
but 1
by 2
can 1
captive 1
caught 1
clues 1
denny 4
doing 1
dreamed 1
escape 2
everything 1
father 2
ferry 1
find 1
follow 1
game 1
given 1
had 1
hardest 1
has 1
he 3
him 2
his 5
hits 1
impress 1
is 5
it 1
kidnapped 1
little 1
mariner 1
matt 6
meeting 1
met 1
mother 1
never 1
nothing 1
now 1
of 1
often 1
old 1
on 1
only 1
pitch 1
police 1
sees 1
siblings 1
signals 1
sister 2
six 1
sons 1
the 6
then 1
they 1
though 1
thought 1
throw 1
to 7
two 2
using 1
way 1
wellraised 1
which 1
who 2
with 1
would 1
year 1
