14126334
/m/03cvddz
/m/03cvddz
Mickey Spillane
1951
{"/m/0lsxr": "Crime Fiction", "/m/05hgj": "Novel"}
a 6
actress 1
also 1
an 3
and 3
as 4
assailant 1
assassination 1
at 1
attempts 1
attorney 1
bar 1
be 1
beaten 1
beatings 1
behind 1
body 1
breeder 1
by 1
car 1
care 1
chambers 1
come 1
cries 1
da 1
daughter 1
death 1
decker 3
deed 1
district 1
drinking 1
driver 1
ellen 1
encounters 2
ensure 1
eye 2
fashion 1
flat 1
for 2
former 1
friend 1
from 1
gangsters 1
getaway 1
goodbye 1
hammer 7
has 1
he 5
her 1
him 1
his 3
hollywood 1
horse 1
hostile 1
in 3
infant 3
is 2
kisses 1
leads 1
loving 1
man 3
marsha 1
meets 1
named 1
night 1
notices 1
of 4
on 3
out 1
over 1
pat 1
person 1
police 1
quest 1
rain 1
rainy 1
reciprocates 1
revenge 1
rich 1
robbed 1
runs 1
searches 1
seedy 1
shoots 1
shot 2
stooges 1
such 1
takes 1
talk 1
that 2
the 12
then 1
to 4
torture 1
trail 1
two 1
vengeance 1
vows 1
walks 1
was 1
well 1
when 1
who 2
with 3
women 1
wont 1
works 1
