1744298
/m/05sm1q
/m/05sm1q
Greg Bear

a 4
about 1
advises 1
after 1
an 4
and 5
are 5
artificial 2
at 3
awaken 1
balloons 1
become 1
beloved 1
big 1
bottom 1
by 2
can 1
causes 1
chronologically 1
collapse 1
contact 1
continent 1
copy 1
cycle 1
devastates 1
devastation 1
distance 1
does 1
down 1
end 1
entropy 1
environment 1
fall 1
fallen 1
fields 1
for 1
force 1
from 2
frozen 1
giant 1
go 1
goes 1
good 1
guardian 1
habitat 1
habitats 2
has 1
having 1
he 4
hegira 2
hero 1
high 1
higher 1
him 2
his 1
history 2
human 2
humankind 1
humans 1
ie 1
if 1
in 5
including 1
inscribed 1
inscriptions 1
intelligence 1
is 1
island 1
it 1
its 2
jupiter 1
just 1
lands 1
last 1
least 1
legend 1
makes 1
means 1
medieval 1
new 1
next 1
novel 1
obelisk 2
obelisks 3
of 12
on 6
one 1
originals 1
part 1
people 1
places 1
planet 1
points 1
populate 1
projected 1
protagonist 1
protected 1
quest 2
reach 1
read 1
realm 1
recorded 1
recreations 1
revealed 1
rim 2
scale 1
science 1
seed 1
several 1
so 1
some 1
sorted 1
species 1
stasis 1
story 1
succeeds 1
surface 1
tells 2
that 2
the 30
these 1
they 2
through 1
time 1
to 7
top 1
transported 2
try 1
tsunami 1
tumbling 1
uncoupled 1
understand 1
universe 3
up 1
using 1
view 1
walls 1
way 1
went 1
what 1
which 2
who 1
will 1
with 4
young 1
