7879672
/m/026hbxl
/m/026hbxl
Aaron Allston
2007-11-27
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction"}
2 1
2007 2
2008 1
27 2
78034551054 1
78073324004 1
7807335651 1
a 9
aboard 2
abridged 2
after 2
afterwards 1
again 1
alema 1
allana 4
alliance 2
also 3
an 1
anakin 1
and 15
anybody 1
april 1
as 2
asteroid 1
attempt 1
audio 1
audiobook 2
available 1
back 2
battle 1
beacon 1
begins 1
being 1
ben 2
between 2
boba 1
book 1
brother 1
but 1
by 8
caedus 5
care 1
centerpoint 5
climax 1
code 1
commenorian 1
compact 1
confederation 1
continue 1
corellian 2
coruscant 1
crushgauntlets 1
dark 2
darth 1
decapitation 1
decide 1
decides 1
destroy 2
destruction 1
devises 1
disc 1
discovered 1
distraction 1
down 1
download 1
due 1
durron 1
ebook 2
else 1
ending 1
ends 1
escape 1
explodes 1
falcon 1
falleen 1
father 1
fett 1
fifth 1
final 1
fleet 1
fleets 2
for 1
force 3
formats 1
free 1
from 2
ga 1
galactic 2
get 1
going 1
government 1
guards 1
han 3
hapans 1
have 1
he 2
help 1
helps 1
her 7
him 1
hints 1
home 1
horn 1
house 1
however 1
in 7
information 1
installed 1
interfering 1
is 2
isbn 3
it 5
jacen 2
jaden 1
jag 4
jaina 3
jedi 7
ka 2
katarn 1
kidnapped 1
kidnaps 1
kill 1
korr 1
kyle 3
kyp 2
later 1
learn 1
leave 1
led 3
left 1
legitimately 1
leia 3
light 1
lucasbooks 1
luke 2
lumiya 1
make 1
mandalorian 1
marc 2
master 1
meanwhile 1
midst 1
millennium 1
mithric 1
much 1
november 2
of 10
on 7
order 2
others 1
out 1
over 1
parentage 1
piloted 1
places 1
plan 1
prevails 1
prevent 1
published 2
random 1
rar 1
rather 1
read 2
remarks 1
rescue 1
rescues 1
revelation 1
saba 2
sabotage 1
sale 3
sebatyne 1
seek 1
set 1
sets 1
she 2
ship 1
showdown 1
side 2
skills 1
slips 1
sneaks 1
solo 1
solodarth 1
some 2
station 5
story 1
strike 1
successfully 1
supporting 1
system 1
take 1
taking 2
team 5
tell 1
tenel 2
than 1
that 4
the 30
them 1
then 1
they 2
thompson 2
to 17
track 1
tracking 1
tries 1
twin 1
use 1
using 2
valin 1
void 1
was 1
who 1
with 9
zekk 2
