1999266
/m/06czvy
/m/06czvy
William Saroyan


a 6
action 1
affluent 1
an 2
and 3
around 1
bar 3
based 1
by 2
caf 1
carson 1
centers 1
characters 1
colorful 1
couple 1
dancer 1
dive 1
down 1
duval 1
each 1
eccentricities 1
encourages 1
entertainment 1
flunky 1
francisco 2
frenetic 1
frequented 2
gomez 1
harry 1
helps 1
his 1
in 5
including 1
is 3
izzy 1
joe 2
kit 1
kitty 1
like 1
loafer 1
looks 1
love 1
man 2
money 1
much 1
nick 2
number 1
of 4
old 1
on 1
operated 1
out 1
pacific 1
palace 1
patrons 1
play 2
prostitute 1
restaurant 1
run 1
saloon 2
san 2
saroyan 1
set 1
sets 1
society 1
street 1
the 6
their 1
tom 1
up 1
which 1
who 2
with 2
wouldbe 1
young 2
