17476676
/m/04f_p3g
/m/04f_p3g
John Marks
2007-01-15
a 4
about 1
accepts 1
after 1
an 2
and 3
anyone 1
anyway 1
appear 1
are 1
arriving 1
assignment 1
associate 1
at 2
attack 1
attacked 1
audio 1
battle 1
begins 1
blood 1
boyfriend 1
but 1
by 2
clementine 1
clemmie 1
companion 1
crime 1
daughter 1
defeats 1
disappears 2
disclosed 1
dismay 1
drinking 1
drives 1
eastern 1
engaged 1
entire 1
european 1
evangeline 4
filled 1
final 1
forced 1
forward 1
found 1
gets 1
given 1
guilt 1
harker 1
her 5
honeymoon 1
hour 2
however 3
in 2
infected 1
infecting 1
insane 1
investigate 1
ion 1
is 6
it 1
kills 1
later 1
location 1
looking 1
lord 1
magnate 1
meanwhile 1
meeting 1
meets 1
memories 1
months 1
mysterious 1
named 1
news 1
noise 1
of 2
only 1
producer 1
program 1
return 1
rich 1
robert 2
romania 2
scrubbed 1
she 8
slicing 1
slowly 1
spence 1
staff 1
story 1
system 1
tapes 1
television 1
terror 1
texan 1
the 9
their 2
then 2
there 1
they 1
throat 1
to 5
together 1
torgu 4
travel 1
two 1
vamparism 1
weird 1
when 1
with 5
worries 1
young 1
