4579160
/m/0c9t_v
/m/0c9t_v
K.M. Soehnlein
2001-08-01
{"/m/03mfnf": "Young adult literature", "/m/05hgj": "Novel"}
13yearold 1
178 1
17yearold 1
a 9
abusive 1
affected 1
after 2
also 1
although 1
an 1
and 6
anyone 1
are 1
as 1
be 1
becomes 2
begins 2
big 1
blames 1
bond 2
book 1
boy 1
break 1
breaking 1
brother 1
but 1
by 1
caught 1
classmate 1
close 1
closer 1
course 1
despite 1
develops 1
dies 1
down 1
during 1
earlier 1
falling 1
family 1
fascination 1
father 2
fault 1
fellow 1
fever 1
for 2
forms 1
freshman 1
from 1
further 1
go 1
golf 1
grease 1
him 1
himself 1
his 5
in 3
incident 1
initiates 1
invites 1
involved 1
is 5
isnt 1
it 2
jackson 1
jersey 1
learns 1
longstanding 1
mackenzie 1
mother 1
neck 1
neighbor 2
new 1
nextdoor 1
night 1
novel 1
often 1
on 1
party 1
physically 1
present 1
relationship 4
religious 1
result 1
robin 11
ruby 1
saturday 1
schatz 2
scott 4
sexual 2
sister 1
slide 1
some 1
spicer 1
swimming 1
teasing 1
tense 1
that 1
the 4
they 1
this 1
time 1
to 4
todd 4
towards 1
triangular 1
troubled 1
two 1
ultimately 1
unaffected 1
violent 1
were 1
which 1
who 1
whom 1
whose 1
with 5
written 1
years 1
younger 3
