15584298
/m/03mgj0m
/m/03mgj0m
Gay Talese
1969
{"/m/05h83": "Non-fiction"}
145 1
160s 1
163 2
186 1
a 6
adolph 1
after 1
all 1
and 3
arthur 1
as 6
at 1
back 1
beginning 1
between 1
book 2
bureau 1
but 1
center 2
city 1
clifton 1
committed 1
coverage 1
critical 1
cult 1
daniel 1
death 1
described 1
driving 1
dryfoos 1
editor 2
emotionally 1
executive 1
famous 1
fit 1
focus 1
found 1
highlyrespected 1
history 1
in 4
indicated 1
influence 1
institution 1
interpretation 1
its 1
james 1
kingdom 1
life 1
looked 1
m 1
man 1
managing 1
motto 1
new 2
news 2
newsroom 1
ochs 2
of 10
old 1
on 1
orvil 1
outlined 1
paper 5
particularly 2
personalities 1
portrayal 1
power 2
print 1
publisher 1
punch 2
religion 1
reston 3
rising 1
rosenthal 1
saw 1
seen 1
sense 1
shifting 1
sometimes 1
star 1
such 1
sulzberger 2
takeover 1
talese 6
that 1
the 25
thenfailing 1
thesis 1
this 1
thrust 1
time 1
times 4
timesman 1
title 1
to 4
under 1
was 4
washington 1
way 1
while 1
wielded 1
york 2
