11750124
/m/02rr1vf
/m/02rr1vf
Karen Harper

1512 1
1517 1
1520 1
1522 1
a 17
able 1
acquaintance 1
advancing 1
advises 1
affair 3
again 1
against 1
agrees 1
ailing 1
allow 1
allowing 1
although 2
altogether 1
amongst 1
an 2
and 16
angry 1
anne 2
annewho 1
annoyed 1
aragon 1
archduchess 1
are 3
arrives 1
as 9
assure 1
at 3
austria 1
avoiding 1
away 1
baby 1
backlashes 1
be 4
becomes 1
been 1
beg 1
begins 1
besotted 1
bessie 1
birth 2
blount 1
boleyn 2
boleyns 1
born 1
both 1
boy 1
brandon 1
bread 1
brosse 1
brother 1
but 3
by 4
carey 2
catches 1
catherine 1
chamber 1
charles 1
chesspiece 1
child 1
chooses 1
christened 1
claude 1
companionship 1
confesses 1
constant 1
continues 1
cornered 1
could 2
court 7
da 1
daughter 1
de 2
death 2
decided 1
decides 1
decision 1
describing 1
desires 3
devastated 1
discovered 1
discuss 1
dismisses 1
dowager 1
elizabeth 1
encourages 1
england 3
english 3
even 1
eventually 2
ever 1
expresses 1
eye 1
eyes 1
falling 1
father 3
favorite 1
feelings 1
finds 1
first 1
five 1
flirtations 1
flirtatious 1
foix 1
foolish 1
for 4
forever 1
form 1
france 1
francois 2
francoise 1
free 1
french 2
friends 1
frightened 1
from 2
future 1
gentleman 1
girl 1
gives 2
greater 1
greatest 1
green 1
grows 1
had 4
handsome 1
happy 1
has 4
have 1
he 4
henry 5
her 15
herself 1
him 2
his 9
hold 1
house 1
household 1
husband 2
i 4
identity 1
if 1
in 12
inherits 1
instead 1
is 16
it 3
italian 1
keen 1
keep 1
killed 1
king 9
ladiesinwaiting 1
later 1
leaves 1
leonardo 1
liaisons 1
life 1
live 2
louis 4
love 6
loved 1
loves 2
maidinwaiting 1
makes 1
man 2
mannerisms 1
manor 1
margaret 1
marriage 1
married 3
marry 1
mary 21
me 1
men 1
mere 1
might 1
mistress 4
mother 1
my 1
nephew 1
never 1
newlywed 1
not 1
of 15
one 1
open 1
other 1
pawns 2
peaceful 1
physically 1
pious 1
plague 1
pleasing 1
possession 1
possible 1
predecessor 1
pregnant 1
pretty 1
privy 1
promised 1
queen 5
quickly 2
quite 1
rather 1
realizes 1
remains 1
reminder 1
rene 1
rescues 1
returns 1
royal 2
secret 4
seen 1
sees 1
sent 2
servant 1
service 1
she 13
sister 2
so 1
society 1
some 1
special 1
stafford 5
still 1
summer 1
survive 1
sweat 1
symbolizes 1
take 1
tell 1
than 1
that 7
the 34
their 1
then 1
there 1
they 4
think 1
this 2
thomas 2
though 1
throne 1
time 1
to 22
towards 2
traded 1
truly 1
tudor 6
two 2
unimpressed 1
unknown 1
unlike 1
until 1
upon 1
very 1
viii 1
vinci 1
visits 1
wane 1
warns 1
was 1
well 2
when 5
while 1
white 1
who 3
whom 1
whomever 1
whore 1
wife 2
will 2
william 4
with 8
withdraw 1
women 1
working 1
xii 3
years 2
you 1
young 1
younger 1
youth 1
