328689
/m/01wk44
/m/01wk44
Terry Pratchett

a 9
about 1
across 1
against 1
agatean 1
agrees 1
an 3
and 14
ankhmorpork 1
anne 1
are 3
attempt 1
atuin 1
barbarian 1
bartender 1
be 1
becomes 1
begin 1
being 1
belshamharoth 2
blind 1
board 1
box 1
breezes 1
built 1
but 1
by 6
capsule 2
carries 1
caused 1
champions 1
character 1
city 2
collapses 1
concept 1
controlled 2
country 1
crocodile 1
cynical 1
disc 3
discover 1
discworld 2
dragonriders 1
dragons 2
duo 1
eater 1
edge 3
empire 1
ends 2
escape 4
exchange 1
exist 1
face 1
fate 2
feature 1
fire 1
flee 1
for 1
forced 1
from 3
game 2
gender 1
get 1
giant 1
go 1
god 2
gods 1
great 1
guide 1
have 1
he 1
heroic 1
hijack 1
him 3
home 1
hrun 2
hydrophobic 1
ignorant 1
imagination 1
in 6
incompetent 1
inhabited 2
instead 1
insurance 1
intend 1
involuntarily 1
io 1
is 5
journey 2
kill 1
krull 1
krullians 1
lady 1
later 1
launch 1
launched 1
led 1
magical 1
main 1
making 1
manages 1
mccaffrey 1
middle 1
misunderstood 1
mountain 2
naive 1
named 1
names 1
nearly 1
of 14
off 1
offler 1
on 5
only 2
over 2
parody 1
perched 1
pern 1
picture 1
pictures 1
pitted 1
playing 1
protect 1
punctuation 1
reference 1
rescued 1
reunited 1
rich 1
riders 1
rincewind 7
sacrificing 1
sea 1
separated 1
series 1
slight 1
smile 1
so 1
soul 1
space 2
supervised 1
taken 1
temple 2
terrible 1
tethis 1
that 2
the 40
their 1
them 1
themselves 1
they 6
through 1
to 16
together 1
told 1
tourist 2
travel 1
tree 1
treenymph 1
treenymphs 1
troll 2
try 1
turtle 1
twoflower 8
unknown 1
up 2
upsidedown 1
very 1
visit 1
voyage 1
was 1
waterfall 1
which 4
while 1
who 1
wish 1
with 3
wizard 1
wizards 1
wyrmberg 1
zephyrus 1
