5587290
/m/0dty6n
/m/0dty6n
Allan Cole
1982
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction"}
13 4
a 11
able 2
accomplishes 1
after 1
against 2
alex 1
alive 1
almost 1
also 1
always 1
an 3
and 10
apart 1
apparently 1
are 2
as 1
assigns 1
at 1
back 1
background 1
band 1
bare 1
baron 5
be 3
becomes 1
been 1
being 1
better 2
birth 1
boy 1
branch 1
bring 1
but 4
buy 1
by 3
called 2
campbell 1
can 2
ceo 1
chance 1
children 1
ciatype 1
clan 1
command 1
company 1
conclusion 1
confronts 1
contracts 1
control 1
covert 1
coverup 1
day 1
delinqs 1
discovered 1
down 2
dressed 1
during 2
edinburgh 1
else 1
emperor 3
enlists 1
escapes 1
eternal 1
eventually 1
excels 1
explosions 1
factory 3
family 1
few 1
field 1
finish 1
for 5
frenzy 1
from 2
future 1
gang 1
gather 1
get 2
gets 1
government 1
great 1
growing 1
guards 1
had 2
hands 1
has 1
have 1
he 3
head 2
heads 1
heart 1
heated 1
heavy 1
hellhole 1
hero 1
him 3
his 9
ian 4
ideals 1
if 1
illtempered 1
imperial 2
in 7
indentured 1
industrial 2
information 2
initiated 1
intelligence 2
is 6
it 2
job 1
judicious 1
karl 1
keep 1
kilgour 1
kill 1
killed 1
killer 1
killing 1
kills 1
laws 1
leave 2
lieutenant 1
little 1
live 1
mahoney 3
makes 1
mantis 2
military 2
mission 1
needs 1
never 1
new 1
not 2
novel 1
of 13
off 1
offers 1
offworlder 1
on 3
one 2
only 1
order 1
orders 1
organizing 1
our 1
out 3
outlaws 1
own 1
parents 2
peg 1
perfect 1
placed 1
project 2
promotes 1
proves 1
raise 1
rather 1
rebellion 1
rebels 1
rejected 1
ripping 1
running 1
runs 1
safe 1
saves 1
second 1
secret 2
security 1
seems 2
servants 1
several 1
sneakiness 1
so 1
somewhere 1
special 1
square 1
sten 12
store 1
super 1
takes 1
team 6
tears 1
than 1
that 2
the 28
their 2
they 2
this 1
thorenson 1
thoresen 3
thought 1
to 14
traditional 1
training 1
true 1
trying 1
unfortunately 1
unmasked 1
up 2
view 1
violence 1
vulcan 5
wanting 1
well 1
which 1
while 2
who 2
with 4
word 2
world 3
worlder 1
years 1
young 2
