2528114
/m/07l3yt
/m/07l3yt
Judy Blundell

{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/0dwly": "Children's literature"}
a 3
able 1
aboard 1
allowing 1
alone 1
along 2
although 1
and 11
apprentice 1
are 3
as 1
assigns 1
at 2
bacta 1
beju 6
between 1
birthday 1
brace 1
brainwashed 1
brother 1
by 3
candidates 1
captured 1
celebrates 1
control 1
controlled 1
cooperate 1
crime 2
cut 1
defeated 1
discover 1
elections 1
empty 1
endure 1
entire 1
eradicate 1
faction 1
first 1
for 1
force 1
forced 3
forcesensitive 2
friends 1
gala 5
giving 1
guerra 2
has 1
he 1
headquarters 1
help 1
hesitant 1
hijacked 1
him 1
his 4
hopefully 1
however 1
in 2
incriminate 1
indeed 1
is 7
it 1
jedi 1
jinn 2
kenobi 2
land 1
later 1
lead 1
league 1
master 1
meanwhile 1
mission 2
must 1
nearly 1
next 2
none 1
now 1
obiwan 8
of 3
on 4
operate 1
organization 2
other 2
oversee 1
padawan 1
paxxi 1
phindar 1
planet 2
plans 2
plot 1
power 1
powers 1
preparing 1
prince 2
provides 1
quigon 6
realize 1
result 1
return 1
rock 2
sector 1
ship 1
sneak 1
special 1
storages 1
supply 1
syndicat 7
than 1
that 4
the 18
their 2
them 2
themselves 1
they 2
thirteenth 1
though 1
to 11
two 1
uses 1
using 1
way 1
when 1
where 1
which 1
while 1
with 5
yoda 1
young 1
