23911242
/m/076wszg
/m/076wszg
Steven Erikson
1998
171 1
a 6
alcoholic 1
an 1
and 4
attempt 1
being 1
body 1
bond 1
boys 1
brand 1
break 1
canada 1
changes 1
changing 1
city 1
community 1
daughter 1
discovery 1
ends 1
escape 1
falls 1
family 1
far 1
fictional 1
find 1
forms 1
friends 1
from 2
gang 1
his 2
illustrate 1
in 6
is 1
jennifer 1
later 1
middlecross 2
move 1
not 1
novel 3
of 5
on 1
owen 3
poverty 1
rebellious 1
reverberations 1
riverbank 1
school 1
seasons 1
sends 1
set 1
small 2
spring 1
starts 1
strong 1
summer 1
the 13
themes 1
three 1
through 1
to 3
town 2
twelveyearold 1
up 1
used 1
violent 1
washed 1
with 3
year 1
