11471216
/m/02rf0d3
/m/02rf0d3
Peter H. Reynolds

{"/m/016475": "Picture book"}
2006 1
a 8
adventure 1
also 1
an 1
and 4
artist 1
awarded 1
better 1
boy 1
by 2
can 1
candlewick 1
cannot 1
cant 1
carnegie 1
colorful 1
display 1
dot 5
dots 1
draw 2
drawing 1
draws 1
elaborate 1
fablevision 1
film 1
framed 1
girl 1
her 5
i 1
in 4
indeed 1
is 4
it 3
later 1
life 1
line 1
make 2
mark 1
medal 1
new 1
next 1
now 1
office 1
on 2
paper 1
press 1
produced 1
published 1
realizes 1
results 1
says 4
see 2
seeing 1
sees 1
she 8
sign 1
starts 1
straight 1
studios 1
surprised 1
takes 1
teacher 3
tells 1
than 1
that 1
the 4
then 2
this 1
to 2
vashti 2
was 1
week 1
weston 1
when 1
where 1
who 2
whole 1
woods 1
you 1
