2598899
/m/07qs0h
/m/07qs0h
Mercedes Lackey
1994
a 12
ability 1
adept 2
adeptclass 1
afraid 1
after 1
alien 1
all 1
almost 1
also 1
ambassador 1
an 2
ancar 1
and 13
andesha 6
approaching 1
are 3
army 2
arrival 1
arrives 1
as 4
assassins 1
assistant 1
at 2
attitudes 1
austreben 1
be 4
become 2
been 2
begins 2
believing 1
between 2
border 1
but 2
by 4
can 1
capital 1
chagrin 1
charliss 1
choice 1
city 1
commander 1
country 1
court 1
cross 1
currently 1
daren 1
discovers 1
doom 1
dressed 1
duke 1
dying 1
earlier 1
eastern 1
ekele 1
elves 1
emperor 2
environment 1
escort 1
examines 1
explain 1
falconsbane 1
favorite 1
fear 1
feel 1
feeling 1
feels 1
firesong 4
first 1
flets 1
from 1
fury 1
garden 1
glad 1
grand 1
greeted 1
group 1
hardorn 1
hardornen 1
has 3
have 1
haven 3
having 1
he 9
help 1
herald 3
heralds 2
highest 1
him 1
himself 1
his 7
home 1
however 1
imperial 1
in 10
independent 1
introduces 1
invaded 1
is 7
jealousy 1
jorethan 1
karal 4
karel 1
karse 2
karsites 1
killed 2
king 1
knows 1
ktreva 1
kyril 1
later 1
left 1
less 1
level 1
like 2
lonely 2
lord 2
lover 1
mages 1
magic 1
man 1
meanwhile 1
meditates 1
meet 1
mentioned 1
mission 1
more 1
mounted 1
much 1
must 2
name 1
negotiate 1
neither 1
nor 1
north 1
novice 1
of 14
official 1
on 2
or 1
out 1
own 1
palinor 1
pass 1
peace 1
people 1
perfectly 1
plants 1
possessed 1
potential 1
power 1
powers 2
premonitions 2
princeconsort 1
queen 1
recently 1
refuses 1
rest 1
ride 1
rings 1
said 1
seems 1
seneschal 2
sent 2
shena 1
shinain 1
single 1
some 1
something 2
sort 1
spends 1
stallion 1
storm 1
succeed 1
successor 1
sukkah 1
sunpriest 1
tainted 1
talia 1
taught 1
tends 1
that 1
the 21
their 1
these 1
they 2
this 2
time 1
to 13
tolkien 1
towards 1
trained 1
treehouse 1
tremane 3
ulrich 2
understands 1
valdemar 4
warning 1
was 2
we 1
weeks 1
well 1
when 1
where 1
while 1
white 2
who 2
whom 1
will 1
winds 1
witch 1
with 1
young 1
