21285548
/m/05f4y25
/m/05f4y25
James Patterson

3 1
4 2
5 2
a 29
about 1
affair 4
affairs 1
after 2
against 1
ago 1
all 1
allows 1
already 1
an 6
and 36
are 2
arm 1
around 1
arrests 1
as 5
assigned 1
assumes 1
at 6
atlantic 1
attempt 1
attractive 1
away 2
back 2
bar 1
be 1
beat 1
been 3
before 1
behind 1
belonging 1
belongs 1
bit 1
black 1
blonde 2
blood 1
bloody 1
body 4
bombshell 1
brothers 1
brotherwho 1
bunch 1
business 1
but 5
by 5
called 1
car 9
carrying 1
cars 1
case 1
cases 1
change 1
chaperoning 2
chase 1
city 2
clean 1
clothing 2
club 1
colleagues 1
come 1
company 3
compartment 1
concealing 1
concoct 1
conference 1
confront 1
confronts 2
connecticut 2
contacts 1
convinces 1
cop 4
course 1
coverup 1
criminal 1
current 2
cut 1
day 1
dc 4
death 2
decides 3
detective 1
discover 1
discovers 3
disgusted 1
dishonesty 1
ditch 1
dives 1
dna 2
down 1
draws 1
drinking 1
drive 1
driving 1
drop 1
drowns 1
drug 1
drugtrafficking 1
during 2
earlier 2
else 1
emerge 1
ends 1
enraged 1
etc 1
even 2
evening 1
eventually 1
evidence 4
extensive 1
fact 1
fall 1
father 1
few 1
fight 1
find 1
fly 1
follows 2
foot 1
for 4
fortunately 1
found 1
foundscott 1
frame 1
friend 3
from 9
get 2
gets 1
gigantic 1
girl 2
gives 1
glasses 1
glove 1
goes 3
going 1
got 1
gun 2
has 4
have 1
having 3
he 8
her 20
herself 1
hide 1
him 7
hire 1
his 12
histories 1
home 3
hotel 4
hours 1
however 1
husband 1
identified 1
in 26
ina 1
incensed 1
inebriated 1
instead 1
interrupted 1
intervenes 1
into 2
investigation 2
investigator 1
involved 1
involvement 3
is 21
it 8
juan 1
keeps 1
kick 1
kidnaps 1
kill 2
killed 1
killing 2
knock 1
knocked 1
knows 1
later 1
lauren 36
lead 1
learns 2
leaves 1
little 1
living 1
looking 1
man 1
manages 3
marital 1
mark 7
mask 1
matched 1
men 1
met 1
might 1
mike 1
mind 1
misunderstanding 1
money 2
months 1
more 1
mortified 1
move 1
ncaa 1
new 5
newborn 1
next 1
night 2
no 1
normal 1
normally 1
not 2
nypd 2
ocean 1
of 10
off 1
office 1
old 2
on 5
once 1
one 5
only 1
or 1
ordonez 1
ordonezvictor 1
ortiz 2
otherwise 1
out 6
over 3
own 1
owns 1
part 1
partner 2
party 1
passing 1
paul 34
paulhad 1
pays 1
perfect 1
periodically 1
picked 1
plan 2
plane 2
police 2
pregnant 3
private 1
problems 1
proceed 1
promising 1
protect 1
puerto 1
pursue 2
pursuit 1
puts 1
quickly 1
ramming 1
range 1
recovery 1
recruiter 1
regis 1
relationship 1
resign 1
respective 1
resulted 1
resulting 1
retirement 1
retribution 1
reveals 1
rico 1
river 1
robbery 2
rover 1
run 1
runs 1
salary 1
sample 4
san 1
saw 1
says 2
scared 1
scene 1
schedule 1
school 1
scott 9
secret 1
secretive 1
see 1
seems 1
sees 6
several 1
sex 1
she 14
shocked 1
shows 2
since 2
sitting 1
small 1
snuck 1
so 2
some 1
someone 1
son 1
speed 1
spoil 1
st 1
staying 1
still 1
stillwell 1
stops 1
story 1
strapped 1
strengthens 1
struggle 1
struggles 1
suspects 2
suv 2
suvowning 1
swindled 1
tarp 2
team 1
thanks 1
that 7
the 36
their 5
then 6
there 4
they 3
this 1
thomas 1
though 2
through 1
throw 2
thrown 1
ticket 1
times 1
to 36
track 2
train 1
travel 1
tries 1
trip 1
trips 1
truck 1
twins 1
two 1
ultimately 1
unconscious 1
undercover 1
underwater 1
unsolved 1
up 3
uses 1
viable 1
victor 6
visiting 1
walk 1
walking 1
was 9
washington 5
wasnt 1
way 1
wears 1
weeks 1
what 1
when 5
where 4
whether 1
which 3
while 4
who 1
window 1
with 7
woman 7
work 1
worked 1
working 1
worse 1
wounds 1
wrapped 1
yard 1
year 1
years 3
york 3
young 2
