12980359
/m/02z246v
/m/02z246v
Izabella St. James
2006-08-21
{"/m/016chh": "Memoir"}
a 2
after 2
allowance 1
and 4
another 1
approaching 1
at 6
attending 1
attention 1
author 3
barfly 3
behind 1
book 1
called 1
capture 1
cars 1
catfights 1
clothes 1
club 2
common 1
confirms 1
curfews 1
day 1
depiction 1
explain 1
explains 2
following 1
free 1
friday 1
girlfriends 2
goes 1
great 1
had 1
hefner 2
hefners 2
highly 1
him 2
hollywood 1
how 1
hugh 1
in 2
including 1
internal 1
invited 2
is 1
james 1
las 1
lengths 1
life 1
like 1
live 1
living 1
mansion 2
many 1
meet 1
met 1
of 3
on 1
other 2
palmas 1
parties 1
playboy 1
real 1
recipients 1
routines 1
rules 1
same 1
scenes 1
schedules 1
she 3
st 1
strict 1
struggles 1
substance 1
surgery 1
tensions 1
that 2
the 14
then 1
to 5
truly 1
twice 1
various 1
was 3
wednesday 1
week 1
weekly 1
were 2
what 1
while 2
with 1
