10762779
/m/02qp983
/m/02qp983
Leif Enger
2001
162 1
a 13
abandoned 1
accident 1
accompanied 1
actually 1
admitted 1
after 2
afterlife 2
again 1
agent 1
airstream 1
also 1
an 1
and 27
andreeson 5
apparently 1
appears 1
approach 1
are 1
arrive 1
as 1
asks 1
assumes 1
asthma 1
asthmatic 1
at 4
attempt 2
august 1
avoid 1
awakes 1
basca 1
be 2
becomes 2
been 1
before 2
being 1
believe 1
betray 1
bludgeoned 1
bought 1
breathing 2
brother 2
burning 1
but 4
by 10
can 1
canadian 1
causing 1
chapter 1
children 1
city 1
claiming 1
claims 1
come 1
compromising 1
concludes 1
conclusion 1
continually 1
conviction 1
cooperates 1
crime 1
cured 1
davy 14
dead 2
death 1
decided 1
deeplyspiritual 1
deliberately 1
despite 1
determined 1
died 1
discarded 1
discover 1
discovered 1
discovers 1
displaying 1
disrupted 1
dumped 1
eccentric 1
elevenyearold 1
end 1
ensuring 1
enter 1
epilogue 1
escapes 2
eventually 1
experience 1
eyewitness 1
family 5
farm 1
father 5
federal 1
fedora 1
finch 1
find 4
finds 1
fires 1
first 1
fled 1
flees 1
for 3
forbidden 2
freely 1
friend 1
from 1
girlfriend 1
gives 1
glimpsed 1
gone 1
guests 1
had 1
has 3
have 1
having 5
he 6
her 5
hideout 2
him 4
himself 3
his 15
home 2
house 1
household 1
if 1
ill 1
in 9
includes 1
information 1
injured 1
intention 1
into 1
is 11
israel 1
it 1
its 1
jail 1
janitor 1
jape 4
jeremiah 9
journey 1
kidnapping 1
kill 1
killed 1
killing 1
kills 1
know 1
land 1
lands 1
largely 1
later 3
latter 1
leading 1
leads 1
learn 1
leaving 1
left 1
length 1
lifestyle 1
lignite 1
lives 1
lurvy 1
marries 3
marry 1
marrying 1
martin 2
maternal 1
might 1
minnesota 1
miracles 2
misleads 1
molest 1
months 1
more 1
much 1
murder 1
narrated 1
narrative 1
nearby 1
neardeath 1
next 1
no 1
normal 1
not 1
novel 2
novelist 1
objecting 1
occasionally 1
of 12
older 1
on 3
one 1
only 1
operate 1
own 1
owner 1
party 1
performs 1
personified 1
plains 1
pneumonia 1
posse 1
prayer 1
prevented 1
probability 1
protagonist 1
protestant 1
provoked 1
pursue 1
pursued 1
raises 1
reaches 1
received 1
recovered 1
recovery 1
reference 1
remain 2
returning 1
returns 1
reuben 13
revenge 1
role 1
roxanna 2
run 1
salesman 1
sara 5
school 1
schultz 1
search 3
searchers 1
seeking 1
service 1
set 1
several 1
sight 1
sister 1
small 1
sole 1
sometimes 1
station 1
still 1
suggestion 1
suspected 2
swede 4
take 1
tell 1
testimony 1
than 1
that 6
the 33
their 3
them 6
then 1
there 2
thereafter 2
they 7
this 1
though 1
three 1
times 1
tin 1
to 17
tommy 1
toward 2
town 1
trailer 1
traveling 1
trial 2
tried 1
troublemakers 1
undergoes 1
unharmed 1
unknown 1
until 1
utah 1
vainly 1
vein 1
visit 1
visits 2
waltzer 5
ward 1
was 1
when 2
where 1
whereabouts 2
whereafter 1
whereas 1
wherein 1
which 3
who 3
whom 1
widowed 1
will 1
with 5
witness 1
younger 1
