593578
/m/02tf33
/m/02tf33
Leo Tolstoy
1897
a 11
able 1
absolute 1
accompanies 1
according 2
activity 1
aesthetic 1
affects 1
after 1
all 2
almost 1
also 1
among 1
an 3
ancient 1
and 12
another 1
any 1
appeals 1
are 2
art 19
artist 2
artistic 1
artists 2
as 3
at 1
audience 2
bad 2
be 2
because 3
beethoven 2
believed 2
believes 1
better 1
between 1
boy 1
brotherhood 2
by 2
cannot 2
capacity 1
cerebral 1
christian 2
christianity 3
cite 1
claim 1
claims 1
class 3
clear 1
clearness 1
communication 2
compelling 1
concept 1
conception 2
concerns 2
condemns 1
considered 1
contemporary 1
continue 1
core 1
create 1
creating 1
criteria 1
criterion 1
crucial 1
cultural 1
deal 1
derived 1
directions 1
does 1
elites 1
embrace 2
embraces 1
emitter 1
emotion 2
emotional 2
emotions 1
encounter 1
enlightened 1
entirely 1
exactly 1
examine 1
example 3
examples 1
experience 1
experienced 2
experiencedthat 1
expression 1
external 1
extolled 1
fear 2
feature 1
feel 1
feeling 2
feelings 3
focused 1
for 2
fosters 1
from 1
furthermore 2
genuine 1
genuineness 1
good 7
great 1
greek 2
had 1
has 3
he 4
hearers 1
heroism 1
his 1
however 3
human 1
humble 1
ideals 1
in 5
infect 1
infecting 1
infection 3
inhibits 1
into 1
is 16
issue 1
it 7
its 2
lack 1
later 1
leads 1
led 1
limited 1
link 2
lost 1
masculinity 1
matter 1
meaning 1
means 1
meek 1
men 1
message 1
models 1
most 1
must 1
mythology 1
never 1
no 1
not 3
of 19
offers 1
on 1
one 5
only 3
opposite 1
other 2
overly 1
past 1
peculiar 1
people 2
perfect 1
place 1
pretends 1
previously 1
problem 1
produced 1
properly 1
real 2
relates 1
reproduces 1
requires 1
rooted 1
same 1
sense 1
signs 1
since 1
sincere 2
singular 1
so 1
society 1
some 1
specific 1
specifically 1
strength 1
stronger 1
subject 1
such 1
symphony 1
teaches 1
that 14
the 28
them 1
therefore 2
these 1
this 5
thus 1
time 1
to 13
tolstoy 6
tradition 1
transmits 1
true 1
two 1
unfitting 1
unfolds 1
unite 1
unity 1
universal 1
upper 2
values 4
via 1
viewer 1
virtues 1
vs 1
wagner 1
what 1
whether 1
which 2
who 1
widen 1
will 1
with 2
wolf 1
word 1
work 2
worth 1
