21749977
/m/05mshng
/m/05mshng
Philip Roth


144 2
171 2
23yearold 1
a 11
adds 1
after 1
allow 1
alongside 1
also 1
and 9
anger 1
are 1
as 3
asking 1
at 3
based 1
be 1
because 1
become 1
becoming 1
begins 1
being 1
beloved 1
bewilderment 1
blames 1
brought 1
bucky 2
but 1
by 1
camp 4
camper 1
cantor 10
catch 1
center 1
central 1
charges 1
child 1
children 4
close 1
closely 1
community 1
contemporaries 1
contracted 1
counselor 1
crippled 1
crisis 2
death 1
devoted 1
die 1
dies 1
dilemmas 1
director 1
disability 1
drama 1
during 1
dutiful 1
effect 1
encounters 1
ends 1
engaged 1
epidemic 1
events 1
eventually 1
examines 1
excluded 1
explores 1
eyes 1
faces 2
familyoriented 1
fear 1
fearing 1
feelings 1
feels 1
fellow 1
fiancee 2
finally 1
find 1
focusing 1
for 1
friends 1
from 1
get 1
girlfriend 1
god 1
greek 1
guilt 2
guilty 1
have 1
having 1
he 4
her 2
him 4
himself 3
his 9
husband 1
if 1
ill 1
implores 1
in 6
inevitability 1
innocent 1
insisted 1
is 5
javelin 1
jewish 2
job 1
join 1
knit 1
leave 1
leaving 1
lifelong 1
lives 1
maiming 1
marries 1
narrative 1
nemesis 2
never 1
newark 5
noncrippled 1
novel 2
of 10
on 4
one 2
pain 1
panic 1
paralysis 1
pestilence 1
playground 4
polio 8
poliofree 1
quit 1
ravage 1
reaches 1
remains 1
reveals 1
romantic 1
roth 1
serving 1
several 1
she 1
since 1
some 1
spiritual 1
stricken 1
suffering 1
summer 4
survived 1
teacher 2
that 3
the 16
their 1
themes 1
they 1
threatened 1
thrower 1
to 9
told 1
up 1
vigorous 1
wants 1
war 1
weak 1
weightlifter 1
what 1
when 1
who 3
why 1
will 1
with 3
working 1
would 1
written 1
