1372721
/m/04xlhd
/m/04xlhd
David Weber
1996
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/01smf2": "Military science fiction"}
a 13
able 2
actions 1
additional 1
after 2
against 1
along 1
also 1
although 1
an 1
and 10
andermani 3
andre 1
appointed 1
are 7
artemis 2
as 2
attack 2
attacking 1
attempt 1
battle 2
battlecruisers 1
battles 1
be 1
because 1
been 2
began 1
being 1
believes 1
between 1
birds 1
bravery 1
but 2
by 3
can 1
cargo 1
carrying 1
cartels 1
caslet 3
causing 1
check 1
chronic 1
citizen 1
closing 1
commander 2
commerce 2
completely 1
conducting 1
confederacy 2
conflict 1
considerations 1
control 1
covert 1
craft 1
crew 2
cruiser 1
deal 1
decide 1
decides 1
defeat 1
defenses 1
demand 1
deployed 1
despite 1
destabilize 1
destroy 1
destroyed 1
destroys 1
die 1
disputed 1
do 1
doors 1
during 1
either 1
elsewhere 1
empire 1
encounters 1
enemies 1
energy 1
ensuing 1
essentially 1
exile 1
favorable 1
few 1
fight 2
first 1
fleet 1
for 3
forced 1
forces 1
four 1
gambit 1
gathered 1
goes 1
gone 1
grayson 1
group 1
had 2
hand 1
has 2
hauptmann 3
have 1
havenite 6
havenites 3
he 3
heavy 1
her 2
him 1
hmamc 1
honor 10
hostage 1
in 14
includes 1
intelligence 1
intended 1
involved 1
is 8
it 2
itself 1
just 1
keep 1
kill 1
kingdom 1
klaus 2
lacs 1
large 1
largerscale 1
lead 1
leads 2
led 1
liberates 1
life 1
light 3
lighter 1
liner 1
loathsome 1
looking 1
losses 1
managed 1
manticoran 2
manticore 2
members 1
merchant 3
missile 1
more 2
most 1
much 1
navy 3
needed 1
number 1
occupied 1
of 14
officers 1
old 1
on 3
one 1
or 1
orders 1
other 1
out 1
outnumbered 1
particularly 1
piracy 5
pirates 4
planet 1
pns 1
pods 1
political 1
powerful 1
present 1
prisoners 1
problem 1
problems 1
prototype 1
pursuing 1
qship 1
qships 1
quickly 1
raiders 5
raiding 1
rear 1
reconciled 1
region 1
regular 1
repugnant 1
rescued 1
return 1
role 1
royal 1
saving 1
see 1
sees 1
several 2
ship 4
sidemore 1
silesea 1
silesia 3
silesian 2
situation 1
size 1
slower 1
some 1
something 2
somewhat 1
space 2
squadron 2
star 1
still 1
stone 1
superior 1
surrender 1
surviving 1
takes 1
territory 1
terrorist 1
than 2
that 4
the 38
them 1
themselves 1
there 1
these 1
thinks 1
this 1
three 1
through 1
to 16
trade 1
traveled 1
try 1
trying 1
two 3
ultimately 1
under 1
until 1
unusually 1
various 1
vaubon 2
vessel 2
war 1
warnecke 1
warner 1
wayfarer 4
weaponry 1
were 1
what 1
when 1
which 1
while 1
whose 1
will 1
with 8
years 1
