23026171
/m/064mbxw
/m/064mbxw
Sergey Lukyanenko

{"/m/06n90": "Science Fiction"}
1 1
14 1
16 1
2 1
22 1
3 1
8 1
a 19
abandoning 1
abilities 2
able 3
affairs 1
after 4
agents 1
all 2
allfemale 1
although 1
an 4
and 11
angel 2
another 2
are 3
arkan 4
arkanians 2
arrives 1
as 1
assault 1
at 2
attack 1
attacking 1
attempt 1
barely 1
be 2
become 1
begins 3
behind 2
being 1
believes 1
biotechnology 1
but 3
by 7
caught 1
challenges 1
chosen 1
city 1
come 1
convinces 1
covered 1
curator 4
current 1
customs 2
decision 1
defeating 1
defeats 1
delivers 1
demos 1
design 1
desperate 1
disappearing 1
discovers 1
do 1
draft 1
due 1
duel 2
during 1
earth 8
elblg 2
eliminate 1
end 2
escape 2
escapes 1
especially 1
even 2
exfunctional 2
features 1
fighting 1
fights 1
find 2
finds 1
finishing 1
flying 1
for 3
forced 1
forces 1
formally 1
freeing 1
friend 2
from 4
frozen 1
function 1
functional 8
functionals 3
gargoyles 1
gets 1
girlfriend 1
guards 1
habitable 1
has 1
he 6
headquarters 1
highlyadvanced 1
him 5
himself 1
his 9
hitchhiking 1
homeworld 1
hours 1
however 4
illan 1
in 4
influence 2
influenced 1
instead 1
intercepted 1
into 1
is 9
island 1
it 6
its 1
ivanova 1
janus 1
kharkiv 2
kill 1
killer 1
kills 2
kirill 15
knowing 1
kotya 6
letter 1
life 2
lifeless 1
like 2
location 1
looks 1
mailmanfunctional 1
make 1
makes 1
making 1
man 1
managed 1
martha 1
master 1
maximov 1
may 1
merely 1
midwifefunctional 1
moscow 1
most 2
mountain 1
move 1
museum 1
natalia 1
nature 1
neighbor 1
newfound 1
next 1
nirvana 1
not 4
novel 1
obviously 1
of 15
off 1
officerfunctional 2
officersfunctionals 1
only 2
opens 1
or 3
oryol 1
our 2
out 1
peak 1
people 2
physics 1
plan 1
police 1
polish 1
portal 1
previous 1
protected 1
puppet 1
quantum 1
radioactive 1
rather 1
reaching 1
ready 1
regular 1
religious 1
repel 1
rescued 1
residence 2
return 1
returns 2
risk 1
rough 1
ru 1
safe 1
security 1
see 1
several 1
skyscraper 1
snow 1
so 1
some 1
somehow 1
special 2
stop 1
storm 1
story 1
strangelooking 1
structure 1
such 1
survivor 1
suspect 1
swiss 1
takes 1
technologicallybackward 1
terriers 1
that 6
the 29
their 3
them 1
there 1
this 1
though 1
three 1
through 2
tibetan 1
to 27
tower 1
track 1
train 2
travels 1
trek 1
true 1
truth 1
trying 1
turned 1
turns 1
tverd 3
twentykilometer 1
understand 1
unfortunately 1
up 1
upon 1
use 1
using 1
vasilisa 2
veroz 1
victor 1
was 1
wasteland 1
where 1
which 4
who 3
whose 1
will 1
with 3
world 6
worlds 1
would 1
yorkshire 1
