12108249
/m/02vq2kv
/m/02vq2kv
Ann Weldy

{"/m/02xlf": "Fiction"}
a 14
about 2
acquaintance 1
affair 1
affection 1
affections 1
after 9
ago 2
alcohol 1
an 2
and 26
angry 1
another 1
apartment 3
arms 1
as 3
asks 3
astounded 1
attraction 1
author 1
ayers 1
back 3
bars 2
bearings 1
becomes 3
beebo 6
been 2
before 1
being 3
beth 30
bit 1
body 1
books 1
bored 1
brinker 1
business 1
businessman 1
but 2
by 4
california 1
calls 2
carried 1
casual 1
charlie 4
chic 1
chicago 1
children 2
cigarettes 1
city 3
clubs 1
coffee 1
college 1
come 1
committed 1
confessing 1
connects 1
considering 1
contacts 1
cover 1
curiosity 1
daughter 1
decline 1
dependent 1
deranged 1
detailed 1
direction 1
disagreed 1
discussing 1
divorce 1
done 1
dreams 1
drinking 1
embarked 1
emotionally 1
encounters 1
evening 1
eventually 2
experiments 1
face 2
fallen 1
falls 1
father 1
find 3
finding 2
finds 3
first 1
for 8
formidable 1
friend 2
from 4
frustrated 1
games 1
gay 1
get 2
go 1
goes 1
greenwich 2
greets 1
gun 1
had 1
hand 2
has 6
hasnt 1
hating 1
he 2
heard 1
her 25
herself 4
him 3
holds 1
hospital 1
hostage 1
hotel 2
however 3
hurt 1
husband 2
idea 1
if 2
illnesses 1
immediately 1
in 13
inevitable 1
instructor 1
interrogation 1
into 1
intrigued 1
introduces 1
invites 1
is 7
it 2
jack 2
journey 1
know 1
knows 2
lack 1
landon 2
laura 16
learns 4
leaves 1
leaving 1
left 3
lesbian 3
life 1
live 2
long 1
looking 1
love 1
loves 1
make 1
many 2
married 1
meets 2
mental 1
modeling 2
months 1
more 3
morning 1
mother 1
mr 1
much 1
must 1
new 3
next 2
nina 5
nine 2
now 4
of 9
off 1
older 2
on 3
once 2
one 2
or 2
order 1
over 1
phantom 1
picks 1
plays 2
points 1
police 2
possessed 1
purvis 1
ravaged 1
reading 1
realizes 1
really 1
reasons 1
recurring 1
report 1
repulsed 1
returning 1
returns 1
rival 1
role 1
satiate 1
scandal 1
scars 1
see 2
seemingly 1
seen 1
separation 1
several 2
she 19
shoot 1
shows 1
sixyearold 1
sleep 1
so 1
spicer 1
starts 1
station 1
stifled 1
still 1
students 1
successful 1
surprise 1
surprises 1
tell 2
tells 1
testing 1
than 1
that 4
the 14
their 3
them 1
there 2
they 5
think 1
this 1
threatens 1
tired 1
to 29
together 3
too 1
try 1
turns 1
two 1
unhappy 1
until 1
unwillingness 1
up 1
upon 1
uses 1
vaguely 1
various 1
vega 10
ventures 1
village 2
wants 1
were 1
what 4
when 3
where 1
which 1
who 5
why 3
wife 1
wishes 1
with 6
worn 1
writes 2
years 5
york 3
