55435
/m/0fdsp
/m/0fdsp
Emily Brontë
1847-12
1801 1
a 27
able 1
about 1
absence 1
absent 1
accepted 1
accident 1
act 1
acting 1
adopt 1
adopting 1
affections 1
after 15
afterwards 1
although 4
an 4
and 57
apart 1
appearance 1
appears 2
april 1
are 5
area 1
argues 1
argument 2
arranges 1
arrival 1
arrives 1
as 8
asked 1
asks 1
asleep 1
at 9
attached 1
attempt 1
attic 1
attracted 1
august 2
away 1
back 2
bad 1
be 3
beautiful 1
because 2
become 2
becomes 2
bedroom 1
been 3
before 5
began 1
begin 1
being 3
believes 1
between 1
birth 3
bitterly 1
books 1
borders 1
both 1
boy 2
brought 1
buried 1
but 6
by 4
called 1
captive 1
catherine 25
cathy 13
caught 1
caused 1
causes 1
chamber 1
chance 1
changed 1
children 3
choice 1
close 1
cold 2
college 1
comes 1
comfort 1
confined 1
contemplate 1
continued 1
could 1
cousin 1
darkskinned 1
daughter 1
day 6
days 2
dead 1
dean 1
debts 1
decides 3
declare 1
delighted 1
departed 1
departs 1
descend 1
despises 1
developed 1
dies 7
disappearing 1
discord 1
distant 1
does 1
dog 1
domestic 1
dresses 2
drunkenness 1
during 2
dying 1
early 1
earnshaw 3
eating 1
edgar 16
education 1
eight 1
eighteen 1
elopes 1
embraces 1
encourages 1
england 3
enough 1
enter 1
escape 1
escapes 2
escorted 1
eventually 3
eventuates 1
every 1
existence 1
explaining 1
fails 1
fall 1
falls 2
family 6
farmhouse 4
father 3
fear 1
fills 1
finds 7
first 1
five 1
flees 1
for 5
forces 1
former 1
found 1
four 1
frances 2
friends 1
friendship 2
from 6
fugitives 1
funeral 1
futile 1
gambling 1
gentleman 2
ghost 1
girl 1
gives 3
go 1
gone 1
gradually 1
graffiti 1
grange 9
graves 1
group 1
growing 1
grown 2
grows 1
guard 1
guardian 1
habits 1
had 10
hareton 10
has 9
hate 1
have 1
having 3
he 29
hearing 1
hears 3
heathcliff 36
heights 17
held 1
help 2
her 13
hero 1
herself 2
highspirited 1
him 15
himself 3
hindley 11
his 15
home 1
homeless 1
hours 2
house 1
housekeeper 2
however 3
ill 5
impress 1
in 23
infatuation 1
inform 1
inhabitant 1
inhabitants 1
inherit 1
injuries 1
inside 1
insists 1
inspects 1
instead 1
intention 1
into 4
is 26
isabella 5
it 3
jealous 1
just 1
keen 1
keep 1
kind 1
lack 1
lady 1
landlord 1
later 6
laughs 1
leads 1
learns 1
leave 2
leaves 2
leaving 1
left 1
let 1
life 1
like 1
linton 9
lintons 1
live 1
lived 1
liverpool 1
lives 1
living 1
lock 1
locked 1
lockwood 11
long 1
looking 1
losing 1
love 2
lovers 1
makes 1
man 2
mannerisms 1
march 1
marriage 1
married 1
marries 1
marry 8
master 3
meet 1
meeting 1
meets 1
member 1
midteens 1
mistress 1
moment 1
months 5
moorland 1
moors 5
more 1
mortgaging 1
moved 1
mr 9
named 2
naming 1
nelly 10
never 1
new 1
next 4
night 1
nightmare 1
no 1
north 1
not 4
nothing 1
now 3
october 1
of 34
on 8
one 4
opening 1
otherwise 1
out 1
outside 1
overheard 1
own 1
part 1
pass 1
passed 1
passes 1
pausing 1
peace 1
peaceful 1
pick 1
plan 1
plans 2
point 1
position 1
prevent 1
prior 1
quiet 1
raise 1
rarely 1
rather 1
really 1
recuperation 1
released 1
remote 1
rents 1
repay 1
replace 1
reserved 1
rest 1
retreats 1
return 2
returning 2
returns 5
revenge 1
rich 1
richer 1
rises 1
rivalry 1
robbed 1
romantic 1
room 3
runs 1
rushes 1
same 1
says 1
secret 2
see 3
seeing 3
sees 1
sent 2
september 1
servant 2
several 1
she 11
shown 1
shows 1
sibling 1
sickly 1
since 1
sister 2
six 2
snowed 1
so 2
some 1
son 5
soon 5
south 3
spend 1
spirit 1
spotted 1
spreads 1
spy 1
standing 1
status 1
stay 1
staying 1
stays 1
still 1
stops 1
story 3
strange 1
strangely 1
stronger 1
suggest 1
summer 1
sun 1
swears 1
taken 1
takes 1
talks 2
teaching 1
teenaged 1
tell 1
telling 1
tenancy 1
tended 1
that 10
the 71
their 1
them 1
themselves 1
then 2
there 3
therefore 1
they 3
thirty 1
this 4
three 3
through 1
thrushcross 6
time 4
to 66
together 1
trace 1
travel 1
travels 2
tries 3
truth 1
try 1
trying 1
twelve 1
two 3
unfortunately 2
unkempt 1
until 1
unused 1
up 2
use 1
valid 1
vengeance 1
very 3
visions 1
visit 4
visits 1
wants 2
was 2
waste 1
way 1
weak 1
wealth 1
when 6
where 4
which 4
while 5
who 7
whom 1
will 1
window 3
with 16
without 1
woman 2
wuthering 13
year 4
years 6
yelling 1
young 1
younger 1
