4844614
/m/0cqmmy
/m/0cqmmy
Beverly Cleary

a 2
able 1
actually 1
all 1
an 2
and 1
at 1
away 1
because 1
been 1
belongs 1
book 1
books 1
can 2
case 1
catch 1
causing 1
chinook 1
come 1
day 1
do 1
end 1
enormous 1
example 1
family 1
father 2
follow 1
for 3
from 1
garbage 1
go 1
has 1
he 1
helps 1
henry 6
him 1
his 1
however 1
huggins 1
if 1
in 2
incidents 1
is 1
it 1
keep 1
like 1
line 1
man 1
manner 1
month 1
most 1
of 4
on 2
ongoing 1
only 1
out 1
plot 1
prevent 1
ribsy 5
salmon 1
salmonfishing 1
says 1
taking 1
that 1
the 8
thinks 1
this 3
to 4
trash 1
tries 1
trip 2
trouble 2
wants 1
with 1
