2039774
/m/06gylr
/m/06gylr
Harold Robbins
1952
{"/m/05hgj": "Novel"}
a 12
acceptance 1
accepts 1
activity 1
after 2
against 1
and 7
apartment 1
are 1
arrival 1
as 4
attention 1
attract 1
beats 1
black 1
born 1
box 1
boxing 2
bribe 1
bring 1
brings 1
brooklyn 1
business 1
but 1
by 1
catholic 1
chagrin 1
championship 1
cheated 1
child 1
city 1
concludes 1
coney 1
contact 1
continues 1
could 1
counterpoint 1
criminals 1
danny 7
dates 1
death 2
depression 1
early 1
easily 1
fame 1
family 3
father 2
few 2
fight 1
first 1
fisher 1
for 1
forced 1
former 1
girl 1
gloves 1
goes 1
going 1
golden 1
great 1
have 1
he 5
him 3
his 9
hits 1
hoodlums 1
hopes 1
house 2
however 1
in 8
into 2
is 3
island 1
italian 1
large 1
life 2
living 1
lost 1
manager 1
marketeer 1
marred 1
married 1
marry 1
mean 1
means 1
mid120s 1
money 1
mother 1
move 1
much 2
new 2
of 6
offered 1
on 1
one 1
opponent 1
out 1
poverty 1
previously 1
professional 1
returns 1
run 1
seeks 1
skills 1
story 1
suburb 1
sum 1
supporting 1
sweetheart 1
talent 1
the 12
their 3
this 1
throw 1
to 7
two 1
use 1
very 1
well 1
which 1
win 1
wish 1
with 3
within 1
would 1
years 3
young 2
