8409391
/m/0272f25
/m/0272f25
Elizabeth Bowen

{"/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
a 25
abandoning 1
about 3
acceptable 1
accompanied 1
according 1
acquaintance 1
across 1
actually 1
addressee 1
adoption 1
adoptive 1
affair 1
affairs 1
afraid 1
after 2
afterward 1
again 4
agree 1
all 2
alley 1
allowed 1
always 1
am 1
ambivalent 1
an 3
and 52
angers 1
angry 2
anticipation 1
any 4
arbuthnot 4
are 4
arrangement 1
arrival 2
arrived 1
arrives 2
as 5
ask 1
asking 1
asks 2
at 8
attempts 1
aunt 4
author 1
avoid 1
awakens 2
aware 1
awareness 1
away 1
back 3
bad 1
be 7
bear 1
because 1
bedroom 2
been 2
before 5
began 1
begs 1
believes 1
bent 1
berlin 1
besides 1
best 1
between 2
bill 3
birth 2
blood 1
blunt 1
both 1
boulogne 1
boy 4
breakfast 1
broke 1
business 1
but 5
by 7
calls 1
cannot 3
chance 1
chaotic 1
character 1
chastises 1
child 3
children 3
circumstances 2
clandestinely 1
clear 2
close 1
come 4
comfortable 1
coming 3
commendation 1
commending 1
commenting 1
committed 1
commotion 1
concerning 1
concludes 1
confides 1
conflicting 1
considerate 1
constitution 1
contains 2
contents 1
conversation 1
converse 1
cork 1
could 2
county 1
cries 1
critiquing 1
cruel 1
cut 1
dark 1
daughter 3
day 9
days 1
dead 1
death 3
decade 1
deceased 1
delicacies 1
delicate 1
delicately 1
despite 2
details 1
develop 1
develops 1
different 1
directions 1
disappointment 1
disconsolate 1
discovered 1
discovering 1
discovers 1
discussing 2
disorder 1
displacement 1
disregards 1
distant 1
distressed 1
do 1
does 2
done 1
door 1
down 1
dramatic 1
dream 1
dropping 1
during 4
dying 1
earlier 2
early 1
ebhart 1
education 1
elderly 1
elevenyearold 1
empty 1
end 1
engagement 2
england 2
enough 1
entire 1
envelope 4
envelopes 1
escaping 1
even 2
evening 1
eventually 2
everything 1
evidence 1
evokes 1
examining 1
exchange 1
exchanged 1
exclaiming 1
exhaustively 1
exist 1
explain 2
explaining 1
explains 3
explanation 1
fail 1
failure 1
family 1
fatal 1
father 1
feelings 2
feels 1
find 2
finds 1
first 5
fisher 27
floor 1
focuses 1
folkestone 1
following 3
for 10
forrestier 2
france 2
french 1
frequently 1
from 4
full 1
furniture 1
general 1
germany 1
girl 1
girls 2
go 2
going 1
gone 1
good 2
goodbyes 1
grandmother 2
grant 2
had 3
halfsibling 1
handbag 3
handled 1
hands 1
happiness 1
has 6
have 5
having 1
he 7
head 1
health 1
heart 1
henrietta 19
her 32
herself 1
him 7
himself 1
his 20
history 1
holding 1
holds 1
home 1
hotel 1
house 4
how 1
however 2
i 6
idea 1
if 1
illness 1
imaginary 1
imaginative 1
imagines 1
implores 1
in 30
inadequate 1
including 1
inescapable 1
information 1
informing 2
informs 1
inherent 1
inside 1
insists 1
intends 1
intentions 1
interaction 1
into 1
introduced 1
introductory 1
ireland 1
is 30
it 3
itinerary 1
karen 23
keep 2
kept 1
kingfisher 1
knife 1
knitting 1
lady 1
last 2
later 1
leads 1
learns 2
leave 2
leopold 28
letter 7
life 3
like 3
likewise 1
little 1
london 2
long 2
made 1
make 2
making 1
man 1
manipulative 1
marian 2
marriage 2
marry 1
match 1
max 15
maxnaomi 1
may 1
me 1
meet 3
meeting 1
meetings 1
menton 1
met 1
michaelis 4
middle 1
miss 14
mme 13
moody 2
more 1
morning 1
mother 10
mountjoy 1
mrs 6
must 1
naomi 13
nap 1
narrative 1
native 1
nature 1
nervous 1
news 1
newspapers 1
next 1
night 1
nineyear 1
no 2
not 9
nothing 1
novel 2
nowdead 1
objectionsshe 1
obligations 1
observe 1
occurred 1
of 39
off 3
old 2
on 7
once 2
one 2
only 1
opens 1
or 2
out 2
outside 1
