328691
/m/01wk4m
/m/01wk4m
Terry Pratchett

{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction", "/m/0c3351": "Suspense"}
a 16
able 1
accompanied 1
adopted 1
after 3
again 1
against 1
ageing 1
alive 1
all 1
aloud 1
also 1
an 1
and 12
ankhmorpork 1
anticipating 1
apocalypse 2
apparent 1
are 5
as 6
assistance 1
attempt 1
atuin 2
away 1
back 1
barbarian 1
be 1
because 1
becomes 4
being 1
bethan 1
better 1
book 2
but 2
by 7
capture 1
card 1
carries 1
classmate 1
cohen 2
comes 1
company 1
consequently 1
course 2
crack 1
creatures 1
curse 1
customer 1
daughter 1
death 3
decides 1
destroyed 1
dimensions 1
directly 1
discover 1
discworld 4
domain 1
door 1
dungeon 1
eaten 1
edge 1
eight 5
encounter 1
ends 1
enter 1
escape 1
escapes 1
ever 1
existence 2
explained 1
fallen 1
falls 1
few 1
fight 1
find 1
finds 1
follow 1
for 5
former 1
four 1
from 4
gain 1
game 1
giant 1
gift 1
goods 1
great 1
group 1
happen 1
has 3
have 1
having 1
he 4
head 1
heading 1
hero 1
hides 1
him 1
himself 1
his 3
home 1
horrible 1
horsemen 1
however 1
huge 1
in 5
inexplicably 1
into 4
is 5
it 2
killed 1
kind 1
lands 1
leading 1
leads 1
leaving 1
led 1
life 1
luggage 3
magic 2
meanwhile 2
meets 1
met 1
mind 2
moons 2
most 1
mountains 1
nearer 1
nearly 1
new 1
next 1
not 2
obtain 1
octavo 4
of 12
on 3
one 2
onto 1
open 1
orders 1
parent 1
parting 2
people 2
playing 1
power 2
powerful 1
protection 1
prove 1
put 1
quickacting 1
read 2
reality 1
red 3
return 1
reveal 1
rincewind 11
rite 1
sacrificial 1
sale 1
save 1
saved 2
saves 1
set 1
seven 2
several 1
shop 1
shopkeeper 1
shops 1
sinister 1
something 1
soon 1
sorcerer 1
spells 6
star 5
still 2
stock 1
stone 1
strange 2
strong 1
that 5
the 41
their 1
them 3
then 1
these 1
they 2
this 1
time 1
tiny 1
to 10
too 1
toothless 1
tries 2
try 2
trymon 2
turned 1
turtle 1
twoflower 7
ultimate 1
unless 1
upon 2
vanish 1
very 1
via 1
view 1
virgin 1
weaker 1
well 1
when 1
whence 1
where 2
whereupon 1
which 1
whilst 1
who 3
will 2
winning 1
wishes 1
with 6
wizard 1
wizards 3
world 2
worldturtles 1
ysabell 1
