6981614
/m/0gzt5d
/m/0gzt5d
Wolf Mankowitz
1953
{"/m/05hgj": "Novel"}
a 5
above 1
accumulated 1
amidst 1
an 1
and 4
any 1
be 1
believing 1
boy 1
buy 1
captured 1
change 1
come 1
community 1
determined 1
dreams 1
earnestly 1
efforts 1
emerging 1
exemplify 1
fleamarketers 1
from 1
grant 1
hardship 1
hardworking 1
hearing 1
help 1
his 4
hope 1
horn 1
in 2
innocently 1
is 1
it 1
joe 3
kandinsky 2
kid 1
lives 1
london 1
lowerclass 1
make 1
mother 1
mr 1
neighbours 1
of 3
openair 1
pocket 1
poor 1
power 1
realize 1
rebecca 1
rooms 1
shop 1
shops 1
small 2
subsequent 1
tailor 1
tale 1
that 1
the 4
to 4
true 1
unicorn 2
uses 1
vendors 1
who 1
will 2
wish 1
wishes 1
with 2
works 1
