344101
/m/01yh8h
/m/01yh8h
Joan Slonczewski
1986
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
a 10
accept 2
act 1
acted 1
addressed 1
agreement 1
all 2
allow 1
always 2
an 1
and 10
animals 2
another 3
any 1
anyone 1
are 6
arebut 1
as 5
at 1
attempt 1
author 1
based 2
be 1
because 3
become 1
beginning 1
being 2
beings 1
believe 1
biological 1
but 1
by 5
can 3
cannot 1
capacities 1
children 1
closest 1
community 2
concept 1
conflicts 1
consume 2
context 1
control 1
covered 1
deep 1
defend 1
disagreement 1
disagreements 1
distinction 1
does 1
dominate 1
dominates 1
draws 1
each 1
ecology 1
ecosystem 1
egalitarianism 1
encounter 1
engineering 1
environment 1
equally 1
events 1
everyone 1
evolution 1
example 3
expression 1
extends 1
fact 1
false 1
female 2
fictional 1
find 1
food 2
for 6
force 2
forces 1
forms 1
found 1
from 3
future 1
gene 1
genetic 1
giving 1
go 1
goes 1
gradually 1
granted 1
have 2
he 1
hears 1
help 1
her 1
historian 1
historical 2
humans 1
i 1
if 1
impedes 1
in 9
inability 1
includes 1
individual 1
inhabitants 1
innate 1
instinctual 1
interchangeable 1
into 1
invasion 1
is 5
it 1
kinds 1
know 2
known 1
lack 1
language 4
leads 1
learn 1
learns 1
life 2
linguistic 1
make 1
making 1
mammals 1
man 2
many 1
me 1
merwen 2
military 1
moon 1
more 1
much 2
must 4
never 1
nonsharer 1
nonviolence 2
nonviolent 2
nonviolently 1
not 2
novel 4
obey 2
object 2
of 14
on 4
one 3
or 2
orders 1
other 5
others 1
out 1
outside 1
participation 1
particularly 1
peace 1
peaceful 1
people 1
person 1
planet 6
plants 2
plenty 1
power 2
powerover 1
predators 1
realities 1
realizes 1
recruit 1
refuse 1
reinforces 1
related 1
research 2
resist 1
resistance 2
responses 1
result 1
return 2
says 1
set 1
settled 1
share 4
sharer 7
sharers 9
sharp 1
shora 2
situation 1
so 1
society 1
spinel 2
spiritual 2
starts 1
stranger 1
subdued 1
subject 2
surrounding 1
take 1
than 1
that 5
the 31
their 12
them 4
they 14
this 2
though 1
threatened 1
threatens 1
thus 1
to 13
translation 1
treat 1
turn 1
ultimately 2
union 1
unique 1
upon 3
use 1
valedon 1
venture 1
violence 2
water 1
way 4
ways 1
we 1
what 2
when 1
whether 1
which 4
who 1
will 2
with 3
within 1
without 3
works 1
worldview 1
writings 1
you 2
young 1
