7258956
/m/025xhh2
/m/025xhh2
Steven Brust
1998
a 15
abandon 1
about 1
accept 1
actions 1
acts 1
actually 1
adjusts 1
after 3
aliera 2
also 1
ambitious 1
an 5
and 19
any 1
approaches 1
are 1
army 1
arranges 1
arrives 1
as 5
at 4
attacks 1
attend 1
avoids 1
band 1
baritt 3
base 2
battle 5
be 2
becomes 1
begins 2
between 2
big 1
blackwand 1
blocks 1
blow 1
bravely 1
bring 1
but 4
by 4
cache 1
camp 1
campaign 1
cannot 1
chain 1
chapter 1
charge 1
claimed 1
close 1
combat 1
committing 1
company 1
comrade 1
comrades 3
conqueror 1
consisting 1
conversation 1
conversations 1
could 1
courteous 1
cousin 1
cropper 1
crosses 1
cuts 1
daymar 2
deduces 1
delivers 1
despite 1
differences 1
discover 1
distaste 1
distracted 1
domain 1
dragon 1
dragonlord 1
dragonlords 1
dragons 1
during 1
each 1
earning 1
easterners 1
effort 1
elite 1
enemy 2
epilogue 1
events 3
excuse 1
fellow 1
few 2
fight 1
fighting 1
fights 1
final 2
finds 3
first 4
follows 2
for 6
forces 1
fornia 15
from 1
funeral 1
given 1
great 3
greatsword 7
guard 1
had 1
hands 1
has 4
hawklord 1
he 10
help 3
herself 1
hidden 1
him 4
himself 3
hires 1
his 12
home 3
honor 1
house 1
if 1
in 11
infiltrates 1
insult 1
insults 1
interludes 1
intimidate 1
is 10
it 3
jhereg 2
job 1
joined 1
joins 1
kieron 1
killed 2
kills 2
kragar 1
lead 1
leads 1
learn 1
learns 1
leaves 1
lieutenant 1
life 1
long 1
magical 1
main 1
makes 1
marks 1
meet 2
meeting 2
merely 1
might 1
military 2
mindread 1
mixes 1
more 2
morganti 2
morrolan 14
most 1
mostly 1
name 1
named 1
near 1
necessary 1
neighbors 1
new 1
nighttime 1
not 2
now 1
of 16
off 1
offers 1
one 2
openly 1
operation 1
operations 1
opportunity 1
or 1
organization 1
original 1
owned 1
pathfinder 2
performing 1
personal 1
philosophy 1
picked 1
piece 1
pitched 1
places 2
planned 1
plans 1
plot 1
position 1
power 1
prisoner 1
proposal 1
protect 1
psychic 1
publicly 1
quickly 1
reason 1
recklessly 1
regardless 1
reluctantly 1
resolves 1
respect 1
returned 1
revealing 1
runs 1
sabotage 1
second 2
sees 1
sends 1
serioli 2
service 1
sethra 4
several 3
shatters 1
she 2
shortsword 1
sides 1
skills 1
small 1
so 1
soldiering 1
soldiers 1
some 1
sorcerer 1
spellbreaker 1
spoils 1
sprawled 1
square 1
start 3
stolen 3
suited 1
summons 2
sure 1
surprisingly 1
switches 1
sword 3
taboo 1
take 2
takes 2
taltos 1
tells 1
than 1
that 8
the 56
theft 2
their 1
them 2
then 2
they 1
third 3
three 1
throughout 1
thugs 1
timeline 4
timelines 1
to 21
tosses 1
towards 1
trace 1
traces 1
trade 1
turns 1
two 1
unit 1
unremarkable 1
up 3
upcoming 1
uses 1
valuable 1
values 1
vanguard 1
violent 1
vlad 24
wants 1
war 7
weapon 4
weapons 2
weeks 1
well 2
when 2
where 1
whether 1
which 4
while 2
who 3
will 1
with 3
within 2
wizard 1
wounds 1
younger 1
