17425467
/m/03c0ccl
/m/03c0ccl
Robin Hardy
2006
a 8
after 1
agree 1
an 2
ancient 1
and 10
approached 1
are 2
areas 1
aristocrats 1
as 2
at 2
attempt 1
back 1
becoming 1
begin 1
being 1
belong 1
beth 6
both 1
boyfriend 1
but 1
by 3
captured 1
cathedral 1
celebrations 1
celt 1
christ 1
christian 1
christianity 1
come 1
concert 1
cowboys 1
cult 1
day 2
decide 1
delia 1
detective 1
devoured 1
devout 1
discovers 2
dog 1
duo 1
during 1
embalmed 1
escape 1
even 1
festival 1
for 3
from 2
glasgow 1
goddess 1
group 1
heathen 1
her 1
his 1
hoping 1
however 1
impress 1
in 7
investigate 1
invite 1
is 5
island 1
it 1
known 1
lachlan 1
laddie 2
large 1
local 3
locals 2
lord 1
lowlands 1
may 2
meanwhile 2
middle 1
music 1
must 1
negative 1
of 6
officer 1
on 1
once 1
order 2
orlando 2
pagan 1
people 1
performing 1
police 1
pop 1
posing 1
preach 2
preaching 1
protestant 1
queen 1
receive 1
reception 1
reports 1
river 1
role 1
save 1
scotland 1
scottish 1
secretly 1
sent 1
set 1
shall 1
she 1
shocked 1
singer 1
small 1
some 1
souls 1
split 1
steve 4
successful 1
sulis 2
texas 1
that 3
the 21
their 1
them 1
there 1
they 6
this 3
to 13
travel 2
tressock 3
tries 1
up 1
upon 1
usa 1
very 1
village 3
when 1
who 1
wife 1
with 1
world 1
worship 1
