385612
/m/0224cd
/m/0224cd
Sharon Creech
1994-06-30
{"/m/0dwly": "Children's literature", "/m/03mfnf": "Young adult literature", "/m/02xlf": "Fiction"}
13 1
a 9
able 1
about 1
accepts 1
accident 1
achieved 1
after 3
again 1
already 1
also 1
an 1
and 16
are 2
arrive 1
as 1
at 1
become 2
been 2
before 1
believe 1
beloved 2
ben 2
between 1
birthday 1
book 1
bring 1
bus 2
by 3
bybanks 2
cadaver 3
can 1
car 1
child 1
classmates 2
clear 1
close 1
complete 1
continues 1
course 1
crash 3
crosscountry 1
dead 1
death 1
denouement 1
departure 1
devastated 1
died 1
dies 1
differences 1
discontent 1
drive 1
due 1
encourages 1
entertains 1
euclid 2
faithful 1
family 1
farm 3
father 3
find 1
finney 1
for 2
friend 1
friendship 1
friendships 1
from 2
gather 1
girl 1
gram 1
gramps 1
grandfather 2
grandmother 1
grandparents 2
grave 1
growing 1
had 1
has 9
he 2
helps 1
her 23
hiddle 1
him 1
home 2
hopes 1
horrific 1
how 1
however 1
idaho 1
in 7
initially 1
intertwined 1
involved 1
is 4
job 1
journey 1
just 1
kentucky 1
learn 1
left 2
lewiston 3
life 2
lifelong 1
lives 1
loss 1
loves 1
maintains 1
make 1
manifestations 1
many 1
mother 8
move 1
mrs 2
mrsmagaret 1
narrated 1
narrative 1
nature 1
never 1
not 1
novel 2
now 1
of 9
ohio 1
old 2
on 4
once 1
one 2
only 2
over 1
parallels 1
phoebe 4
plans 1
point 1
previously 1
reach 1
reader 1
realizes 2
reasons 1
rebuild 1
recently 2
relationship 1
return 3
right 1
romance 1
sal 22
salamanca 1
seeing 1
sees 1
several 1
she 7
site 2
story 2
strength 1
stroke 1
sugar 3
survivor 1
take 1
taught 1
telling 2
tentative 1
that 6
the 13
their 3
them 1
there 1
these 1
they 1
this 1
time 1
to 11
told 1
travel 1
tree 1
trip 2
truly 1
unclear 1
until 1
very 1
visit 1
visits 1
was 1
we 1
west 1
where 2
who 2
whom 1
whose 2
will 1
winterbottom 1
wishes 1
with 8
woman 1
year 1
yellowstone 1
