28828819
/m/0dddztw
/m/0dddztw
Leonard Carpenter

{"/m/0dz8b": "Sword and sorcery", "/m/01hmnh": "Fantasy"}
a 3
after 1
against 1
ambitious 1
amoral 1
an 1
and 6
appears 1
approach 1
aquilonia 3
armies 1
armiro 2
as 2
at 1
baleful 1
battlefield 1
behind 1
believes 1
between 1
both 1
brink 1
but 1
by 1
clash 1
conan 4
concerns 1
confidence 1
conquer 1
conquests 1
contest 1
crushing 1
cult 1
delvyn 3
demon 1
dependant 1
devotee 1
drives 1
driving 1
dwarf 1
east 1
employer 1
empry 1
enemy 1
enough 3
establish 1
estranged 1
evil 1
extends 1
failure 1
feeds 1
fool 1
for 1
force 1
former 3
friends 1
from 2
hangeron 1
he 3
him 1
himself 1
his 6
however 1
hyborian 1
in 2
inevitable 1
influence 1
insinuating 1
into 1
invading 1
invasion 1
is 3
its 3
jester 3
khoraja 1
king 4
kingdom 1
kings 1
koth 2
lover 1
mysterious 1
nations 1
nemedia 1
new 3
not 1
of 7
on 2
only 1
ophir 1
over 1
own 1
patrons 1
plays 1
pliant 1
powerful 1
prince 1
queen 1
realms 1
rescues 1
resurgent 1
revelation 1
ruler 1
ruthless 1
scheming 1
secret 1
seeks 1
shake 1
skillfully 1
son 1
spread 1
spurs 1
stops 1
strength 1
strong 1
supporters 1
that 1
the 22
their 1
them 1
they 1
throughout 1
to 7
under 1
unite 1
universal 1
vainglory 1
victorious 1
wake 1
war 1
west 1
while 1
world 1
worship 1
yasmala 1
