9347120
/m/0285dxr
/m/0285dxr
William Brinkley
1956
1 1
2 1
3 1
4 1
5 1
6 1
a 79
able 1
aboard 2
about 5
abruptly 1
accept 2
ace 1
achieved 1
achieving 1
acquires 1
action 1
adam 1
additional 1
adjacent 1
admiral 7
adverse 2
advisor 1
affair 3
affected 1
afflicted 1
after 8
again 1
against 1
ahead 1
aide 1
aides 1
aim 1
air 1
alarmed 1
alba 9
albas 2
aldrich 1
alice 4
all 2
allnight 1
allotments 1
allowance 1
allowing 1
allure 1
almost 1
alone 1
aloof 1
also 1
always 1
ambition 1
american 1
among 2
amused 1
amusement 1
an 12
and 58
ankletooth 1
announces 1
another 2
answer 1
anthropologically 1
anxious 1
any 2
anyplace 1
apa 1
apocalyptic 1
appears 1
appleton 1
appointing 1
appreciation 1
are 5
around 2
arrange 1
arranged 1
arranges 1
arrives 1
as 16
ashore 1
ask 1
asked 1
asks 1
aspires 1
assignment 1
assigns 1
assist 1
assistant 1
assuring 1
at 5
attack 1
attacks 1
attempt 1
attractive 1
australia 1
author 1
awarded 1
awards 1
away 2
b2 1
back 1
background 1
bank 1
banker 1
base 1
battle 1
be 12
beautiful 3
because 2
become 3
becomes 1
been 4
beer 2
beers 1
before 1
begin 1
begun 1
behave 1
behavior 1
benefit 2
bet 1
bets 1
between 3
bid 1
bigwheel 1
bill 2
binge 1
black 2
blackmail 1
blow 1
boasts 1
boatswain 2
boatwright 5
body 1
bombardment 1
bombing 2
bond 1
boorish 1
boudoir 1
bow 1
boy 2
bra 1
branch 1
brassiere 1
breaks 2
breeding 1
brings 1
britannica 1
broken 1
broker 3
broughtup 1
bucks 1
build 1
burdened 1
burroughs 1
but 9
buttocks 1
by 27
bypassed 1
can 2
cancelling 1
carry 1
casualties 1
celebrates 1
celibacy 1
cement 1
ceremony 1
chaperoned 1
chapters 1
charge 1
chastened 1
chess 1
chicago 1
chief 1
christopher 1
city 1
civilian 3
civilians 1
claim 1
class 2
clauswitz 1
clinton 1
close 2
club 5
coarsest 1
collection 2
college 1
combat 2
combine 1
combines 1
come 1
commander 8
common 1
compel 1
complete 2
conceive 1
concerned 1
concerns 1
conclusion 1
conditioning 1
confess 1
confines 1
congressmen 1
conquest 1
consequences 2
considers 1
consume 1
consummate 1
contacts 1
conversation 1
cooperation 1
copy 2
correspondent 6
correspondents 3
could 2
coup 1
court 2
courteous 1
create 1
creates 1
crew 1
crewmenmaketen 1
cross 1
crucial 1
cruiser 1
curiously 1
currently 1
daily 2
dampened 1
daughter 1
dawn 1
day 3
daylight 1
days 4
dd 1
dealing 1
debbi 3
decides 2
decision 1
dedication 1
defuses 1
demonstrating 1
department 3
depression 1
deprivation 1
desperate 1
despises 1
despite 3
destroyed 1
destroyer 1
detailing 1
developing 1
deviating 1
didnt 1
dinner 2
directly 1
dirty 1
disappearance 1
disappeared 1
disaster 1
disastrous 1
disciplinary 1
discloses 1
discovers 1
diseases 1
dismays 1
displaying 1
dissects 1
distributes 1
distributing 1
does 1
dog 4
dollar 1
done 1
dont 1
down 1
dress 1
drinking 1
driven 1
driver 1
dubs 1
during 5
duties 1
duty 6
earlier 1
edgar 1
editor 2
editorial 2
educated 2
education 1
effort 1
else 2
embarrasses 1
en 1
encounter 1
encounters 1
encyclopdia 1
end 2
ended 1
engagement 1
english 1
enjoy 1
enjoys 1
enlisted 6
enlisting 1
ensign 23
enters 1
entitled 1
episode 1
episodic 1
equipment 1
escorted 1
escorting 1
especially 3
established 1
establishes 1
european 1
evasive 1
ever 1
every 1
exceeding 1
excellent 1
excitement 1
exec 6
executive 1
exercise 1
expatriate 1
expedient 1
failing 1
fails 1
falls 2
family 1
farragut 2
fascinating 1
father 2
fear 1
fearful 1
fearing 1
fears 1
femaletomale 1
filler 1
film 1
finally 1
find 2
finds 3
first 2
fleet 2
fluent 1
fly 1
flying 1
for 21
forbidding 1
force 1
forced 1
forcing 1
forgets 1
forgo 1
formal 1
formality 1
formally 1
former 3
formerly 1
found 1
four 1
frangipani 1
fraternization 2
freaks 1
freed 1
frequent 1
freshen 1
friend 1
friends 2
from 8
front 1
frustrated 1
full 1
futility 1
future 1
gag 1
gaining 1
game 1
garrett 10
gave 1
gazette 1
genius 2
gesture 1
gets 1
gift 1
girl 4
give 1
given 1
glamor 1
glamorize 1
go 1
goes 1
going 2
gordon 3
grateful 1
great 2
greenbrier 1
griffin 3
grossly 1
ground 1
grown 1
guggug 2
had 3
hailed 1
half 2
halfinch 1
hall 1
handbills 2
happily 1
harvard 2
has 17
hauling 1
have 1
having 1
he 12
head 1
headquarters 2
heads 1
heavy 1
help 1
helping 2
her 11
hero 4
heroes 1
hiding 1
high 1
higherranked 1
him 15
hiroshima 1
his 24
historical 1
history 1
hits 1
hollywood 4
home 3
hometown 1
horrified 1
horror 1
hotpants 1
how 2
however 4
huckster 1
hundred 1
hut 1
hydroz 1
i 1
idea 1
identity 1
idlest 1
if 1
iii 1
imitation 1
immediately 1
impending 1
implications 1
in 35
inch 1
including 1
inconspicuous 1
indiscreetly 1
inexperienced 1
inform 1
information 1
informs 1
injuries 1
inscribed 1
installed 1
instead 3
intelligence 3
intentions 1
interest 1
interludes 1
interrogates 1
interviewing 1
into 5
investigates 1
investigation 1
investment 2
invitations 1
invited 1
invites 2
involvement 1
is 34
island 9
islanders 2
isnt 1
it 8
its 2
japan 1
japanese 1
japaneseheld 1
jerem 1
jg 4
job 1
joe 1
jones 9
junior 1
kidnap 1
known 3
lacy 1
ladies 1
landing 1
language 1
large 1
latest 1
laugh 1
laundry 2
lavish 2
lean 1
learns 2
leaving 1
led 1
legion 1
letter 1
liaison 1
library 1
lieutenant 11
life 2
lifts 1
like 2
liquor 1
little 1
live 1
logistics 1
looking 1
love 1
loves 2
madame 1
magazine 1
mail 1
mainly 1
major 1
make 1
makes 1
man 7
marblehead 1
marines 1
marriage 1
married 1
martial 2
mass 1
master 1
match 1
mate 2
matters 1
max 1
meathead 1
media 2
meek 1
