12721787
/m/02x23vf
/m/02x23vf
Barbara Hambly
1992-12
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction"}
a 3
after 3
and 2
antryg 2
apartment 1
arrives 1
as 1
at 1
being 1
book 1
brought 1
by 1
california 1
call 1
citadel 1
companion 1
completely 1
condemned 2
continues 1
death 1
different 1
earth 1
escape 1
exiled 1
for 1
forced 1
from 1
have 1
he 3
her 3
his 1
idea 1
in 3
is 3
joanna 3
kidnapped 2
living 1
mage 2
mysterious 1
no 1
of 3
opens 1
or 1
order 1
person 1
previous 1
realizes 1
reason 1
respond 1
robes 1
silicon 1
story 2
that 2
the 11
their 1
them 1
there 1
through 1
to 5
track 1
void 1
was 1
wearing 1
where 1
whereabouts 1
who 2
windrose 1
with 1
wizard 1
wizards 3
