10291215
/m/02q7l2w
/m/02q7l2w
Tracy Hickman

300 1
a 4
action 1
actions 1
adventure 2
adventures 2
after 1
aided 1
allowing 1
also 1
although 1
an 2
ancient 3
and 5
any 1
are 1
as 1
assumed 1
baby 1
based 1
be 1
begins 1
black 1
blue 2
but 1
by 2
challenging 1
characters 2
choose 1
city 1
clerics 2
confront 1
course 1
crystal 2
dd 1
defeat 1
direct 1
disks 1
down 1
draconians 2
dragon 2
dragons 2
dungeon 2
dungeons 1
dwarf 1
elven 1
encounter 2
encounters 1
ends 1
exact 1
extremely 1
filled 1
find 3
first 3
five 1
fleeing 1
follow 1
for 5
game 1
general 1
goddess 1
gods 1
good 1
gully 1
have 1
her 1
if 1
in 3
individual 1
invading 1
is 2
it 1
junglecovered 1
khisanth 2
knowledge 1
krynn 1
level 2
meeting 1
mishakal 2
monsters 1
most 1
must 2
negotiate 1
of 14
on 2
other 1
over 1
party 1
pcs 6
player 2
players 1
quests 1
recovering 1
return 1
ruined 1
ruins 1
search 1
second 1
series 1
settlement 1
sign 1
slaves 1
solace 1
staff 2
story 1
storyline 1
subterranean 1
take 1
task 1
that 1
the 27
their 1
they 4
this 1
time 1
to 5
true 2
tsaroth 2
typical 1
unsuccessful 1
up 1
used 1
varies 1
well 1
where 1
wilderness 1
will 1
with 4
xak 2
years 2
