21322522
/m/04ymqsh
/m/04ymqsh
Sebastian Barry
2009-09-29
120s 1
130s 1
20th 1
a 2
about 1
an 1
and 7
apparent 1
are 1
as 2
at 1
attempt 1
autobiography 1
be 3
becomes 1
been 1
begins 1
book 1
both 2
but 1
calls 1
century 1
character 1
charts 1
chief 1
commonplace 1
community 1
concerned 1
consistent 1
current 1
decide 1
decides 1
demolition 1
differing 1
discover 1
dr 2
early 1
faces 1
fell 1
fifty 1
floorboard 1
for 1
found 1
grene 2
have 1
having 1
he 2
her 7
herself 1
hidden 1
his 1
history 1
hospital 3
if 1
imminent 1
in 6
incarceration 1
into 1
ireland 1
is 5
it 3
keeps 1
life 2
living 1
loose 1
main 1
mcnulty 1
mental 1
more 1
must 2
narrative 1
narratives 1
now 2
of 6
onehundredyearold 1
or 1
parents 1
particularly 1
patient 1
patients 1
political 1
psychiatrist 1
regional 1
released 1
religious 1
resides 1
room 1
roscommon 1
roseanne 6
second 1
she 3
sligo 1
some 1
soon 1
stories 1
story 1
tentatively 1
testimony 1
that 3
the 13
to 7
transferred 1
turn 1
under 1
unsure 1
upheavals 1
victim 1
wants 1
what 1
who 3
woman 1
write 1
years 1
yet 1
