18615381
/m/04gshz9
/m/04gshz9
Emanuel Litvinoff
2008-08-07
114 1
172 1
a 5
almost 1
also 1
and 6
apart 1
at 1
bread 1
brick 1
brief 1
but 1
chatter 1
childhood 1
city 1
cluster 1
communism 1
culture 1
describes 1
dream 1
east 1
emanuel 1
end 1
evocation 1
experiences 1
fled 1
flirtation 1
from 1
he 1
herring 1
his 3
in 5
intensity 1
is 1
jewish 1
journey 1
lane 1
like 1
litvinoff 2
london 1
longvanished 1
machines 1
masterly 1
next 1
of 7
onion 1
overcrowded 1
parents 1
pickled 1
planet 1
rattle 1
recalls 1
relates 1
right 1
russia 1
school 1
sewing 1
small 2
smell 1
spirit 1
stories 1
streets 1
tenements 1
the 6
this 1
through 1
to 1
unsentimental 1
vital 1
vivid 1
whitechapel 1
who 1
with 2
workingclass 1
world 1
worlds 1
writer 1
yiddish 1
