6169154
/m/0ftx1j
/m/0ftx1j
Samuel Beckett
1965

0 1
12 1
16 1
166 1
20 1
24 1
28 1
31 1
32 1
36 1
4 1
7 1
8 1
a 21
abandoned 1
about 2
add 1
added 1
addition 1
adore 1
advantage 1
aeroplane 1
again 1
alan 1
all 4
also 1
although 1
an 2
and 22
announcement 1
another 1
antithesis 1
anyone 1
april 1
are 2
art 2
as 8
asks 2
assures 1
at 5
attacking 1
attempts 1
back 3
be 6
because 1
beckett 4
bed 1
been 1
begins 1
best 3
better 1
breasts 1
bundled 2
but 9
came 2
camera 1
careful 1
change 1
changed 1
checked 1
close 1
closer 2
clouds 1
coat 1
colour 1
come 4
commonly 1
complete 1
complimented 1
concerted 1
course 1
covers 1
day 1
dead 1
death 1
decides 1
degree 1
describes 1
describing 1
did 6
didnt 1
die 1
died 2
do 1
does 1
doesnt 3
doing 2
door 2
down 6
drone 1
drops 1
drown 1
ducks 1
dust 2
each 1
effort 1
eh 1
elocution 1
emphasising 1
empties 1
end 1
erotic 1
escape 1
events 1
ever 1
everyone 1
everything 1
evoke 1
exactly 1
exchanging 1
expect 1
express 1
external 1
eyes 1
face 3
fact 1
fades 1
fails 1
falls 1
far 1
fare 1
fathers 1
feels 1
feet 1
fetches 1
few 2
film 2
final 1
finally 2
finds 1
first 4
following 1
fondling 1
for 9
found 2
from 4
further 1
furthering 1
garden 2
genesis 1
gets 1
girl 5
go 2
goad 1
god 1
goes 2
going 2
gone 1
good 1
got 1
grass 1
greater 1
had 1
hadnt 1
hands 2
happened 2
harder 1
has 7
have 1
he 28
head 2
hear 1
heard 2
hearing 1
hears 1
heaven 1
hed 4
her 26
here 3
herself 1
hes 3
him 21
himself 7
hints 1
his 11
holding 1
house 3
how 1
hurried 1
if 6
image 2
imagination 1
imagine 4
important 1
in 18
included 1
incoming 1
incorporated 1
independent 1
instruction 1
intention 1
into 1
is 18
it 8
itll 1
jesus 1
joe 14
joes 1
just 1
knew 1
knife 1
know 3
knows 2
lashes 1
last 1
lavender 1
least 1
left 3
lies 1
light 1
like 5
likelihood 1
limited 1
lips 1
lists 1
little 1
looks 1
love 2
loved 1
loves 1
lying 1
made 2
make 2
makes 2
man 4
managed 1
may 2
metaphorically 1
might 1
mind 1
minimum 1
monotonous 1
more 2
mother 1
move 1
mud 1
near 1
needs 1
never 2
nightly 1
no 1
not 8
now 3
o 1
of 14
off 1
on 6
once 1
one 4
only 2
other 1
others 3
out 5
pale 1
parable 1
parents 1
part 1
particularly 1
pause 1
paying 1
people 1
play 1
pocket 1
point 2
presumably 1
primarily 1
printed 2
proceeds 1
profess 1
progresses 1
protect 1
quietly 1
quotes 1
rather 1
razor 1
reaches 2
ready 1
realise 1
recalls 1
recollection 1
recommended 1
reduced 1
relationship 2
religious 1
remarks 1
remember 1
reminds 1
repetition 1
represent 1
return 1
returns 1
rich 1
rid 2
right 1
righteous 1
rock 1
round 1
routine 1
run 1
safe 1
said 2
same 1
say 1
says 1
schneider 1
scratch 1
sea 1
seems 1
sentence 1
sex 1
shalt 1
she 30
shed 1
short 1
should 1
silenced 1
silent 1
silk 1
simple 1
sitting 3
slim 1
slip 2
slit 1
slow 1
smiling 1
so 1
solitaire 1
some 2
someone 1
sopping 1
source 1
spot 1
squeezed 1
still 2
stones 1
stop 1
strains 1
strip 1
success 1
summer 1
tablets 1
take 1
takes 2
talk 1
talking 1
tears 1
tell 1
tells 2
terms 1
text 2
than 2
that 11
the 67
them 1
then 3
there 6
theres 1
they 2
thing 2
thinking 1
this 7
thou 3
throttle 2
through 1
ticket 1
tide 1
ties 1
time 7
timeline 1
to 51
together 2
told 2
too 1
tries 1
tube 1
two 1
unclear 1
until 3
unto 1
used 2
vanishes 1
viaduct 2
victory 1
voice 14
vows 1
wanted 1
wants 3
warns 1
was 12
watching 2
way 3
ways 1
we 4
wearing 1
week 1
well 2
were 2
wet 1
what 6
when 4
where 2
which 3
whisper 2
whispered 1
who 2
why 2
will 2
with 8
withdrawal 1
woman 4
womans 2
wonders 1
word 1
work 2
would 1
wrists 1
wrote 1
years 1
yet 1
you 1
young 1
