4139603
/m/0bl5zm
/m/0bl5zm
Ruth Rendell
1977-05-02
a 6
about 1
act 1
adapt 1
aid 1
already 1
and 4
are 1
as 1
away 1
been 1
behind 1
but 1
by 5
caring 1
charged 1
clue 1
conceals 1
continuing 1
court 1
crime 1
cunning 1
discovered 1
disposing 1
during 1
employers 2
entire 1
eunice 3
eventually 2
every 1
falsified 1
family 2
father 1
fellow 1
for 1
four 1
from 1
guns 1
had 1
has 3
her 8
herself 1
housekeeper 1
illiteracy 3
in 1
inability 1
is 8
it 1
keep 1
kept 2
kindness 1
left 1
locked 1
made 1
masked 1
misfit 1
misinterpreting 1
mortified 1
murdered 1
murders 1
new 1
normally 1
obsessed 1
of 6
offered 1
on 2
one 1
place 1
prevents 1
proceedings 1
recognizing 1
recording 1
references 1
revealed 1
secret 1
she 7
shooting 1
so 1
social 1
society 1
stealing 1
taken 1
tape 1
that 2
the 11
them 1
to 5
truth 1
turns 1
unknown 1
victims 1
was 1
when 1
which 1
whom 1
with 3
world 1
written 1
