1037400
/m/040f_6
/m/040f_6
William Faulkner
1931
12 1
151 1
20th 1
a 62
abandoning 1
about 5
accident 1
across 1
admires 1
advances 3
advice 2
affair 1
after 7
again 4
against 1
agrees 1
alcoholic 1
all 2
allow 1
allusions 1
along 1
already 1
also 3
although 1
among 1
amount 1
an 7
and 70
angry 1
another 2
any 1
apparent 2
apparently 2
appearance 1
apprehension 1
are 3
argue 1
around 1
arranged 1
arrest 1
arrested 1
arrives 1
arriving 1
as 5
asking 1
associate 1
assures 1
asthmatic 1
at 15
attorney 1
awakens 2
away 2
back 11
badly 1
banged 1
barn 1
baseball 1
basic 1
bawdy 1
be 7
become 1
becomes 1
bed 1
bedroom 1
been 7
before 1
begins 1
being 1
believe 1
believer 1
believing 1
benbow 29
beyond 1
black 1
bloodstained 1
blows 2
body 1
bonfire 1
bootlegger 1
bootlegging 2
booze 1
both 1
boys 2
bribes 1
brings 2
brothel 1
brought 3
buckled 1
burning 1
but 5
by 14
call 1
called 2
calls 1
can 1
cannot 1
capable 1
capacity 1
captured 1
car 4
carry 1
case 1
catches 1
cease 1
chaperoned 1
chaperones 1
child 4
choice 1
chosen 1
claims 1
clarence 2
classmates 1
client 1
club 3
cob 1
come 3
comes 1
coming 1
committed 1
commonlaw 1
complaining 1
completely 1
confrontation 1
connection 1
connections 1
constantly 1
consumption 1
continue 1
continues 1
convicted 2
convince 1
convinces 1
corn 2
corncob 2
corrupted 1
county 1
course 2
court 1
courtroom 2
cowering 1
crashes 1
crazy 1
crew 1
crib 1
crime 1
criminal 1
crowd 1
crude 1
crudely 1
da 2
dance 2
date 1
day 2
dead 2
decides 1
defeated 1
defense 1
deliberation 1
denial 1
despite 2
devastated 1
disapproval 1
discover 1
discovers 4
distraught 1
district 1
divorce 1
dont 1
down 1
dragged 1
drake 5
drink 4
drinking 1
drinks 1
drive 1
drives 1
dropped 1
drugstore 1
drunk 3
drunken 2
drunkenness 1
du 1
each 1
easy 1
eight 1
ekes 1
encounters 1
ensconces 1
escaping 1
escorting 1
even 4
evening 4
evidence 1
excursion 1
executed 1
explains 1
extremely 1
eye 1
fact 1
faith 1
fallen 1
falls 1
false 1
family 1
fascinated 1
fast 1
father 5
feels 2
felled 1
fend 1
fictional 1
fifteen 1
final 1
finally 2
find 2
finds 6
finishes 1
flat 1
florida 1
for 20
forces 1
fortuneteller 1
found 1
frenchman 1
fridaynight 1
friends 2
frogmarch 1
from 7
frustrated 1
furtive 1
gal 1
game 2
gangster 2
gasoline 1
gentleman 2
get 3
gets 2
girl 1
given 1
goes 2
gone 1
good 1
goodnatured 2
goodwin 27
goodwins 2
gossiped 1
gowan 15
graduate 1
greataunt 1
grotto 1
growing 1
guilt 1
guilty 1
gunshot 1
had 3
halfowner 1
halfwit 1
hands 1
hanged 1
hangover 1
happen 1
happened 1
happens 1
happy 2
harass 1
has 25
have 2
having 2
he 53
head 1
heads 2
heavily 1
help 1
her 35
herself 3
hides 1
high 1
highly 1
him 19
hinting 1
his 30
hit 1
hitchhike 1
home 3
homestead 1
hometown 1
honor 1
hoping 1
horace 1
hotel 2
house 14
however 1
human 1
husband 1
idea 2
idealist 1
if 2
illegitimate 1
imagines 1
immediately 3
impotent 2
impress 1
in 51
infant 1
information 4
injured 1
innocence 1
instead 1
intercept 1
into 8
involvement 1
ironically 1
is 30
it 7
jail 3
jar 1
jardin 1
jefferson 9
jenny 2
jew 1
join 1
judge 4
june 1
jury 1
just 1
justice 1
keeps 1
key 1
kicked 1
kill 1
killing 1
kills 1
kinston 1
knocks 1
known 1
knows 1
lady 1
late 1
later 1
lawyer 3
learned 1
leave 2
leaves 2
led 1
lee 2
leering 1
left 3
legal 1
less 1
let 4
life 1
like 3
liquor 2
lives 3
living 3
local 1
look 1
looking 1
lose 1
lowerclass 1
luxembourg 1
lynched 1
lynching 1
madam 1
made 1
magnanimously 1
make 1
makes 2
man 1
marriage 1
massive 1
matter 1
may 1
meet 2
meets 2
member 1
members 1
memphis 7
men 6
menacing 1
middle 1
might 2
milieu 1
mind 1
minnie 1
minutes 2
miss 14
missed 1
mississippi 1
mob 1
moment 2
money 1
moonshine 2
more 3
mores 1
morning 4
most 1
mother 1
moves 1
murder 1
murdered 2
murders 1
name 2
named 2
narcissa 6
near 1
nearby 2
nearly 1
needs 1
neighbor 1
never 1
newspaper 1
next 5
night 3
nightfall 1
no 2
north 1
not 3
nothing 1
now 1
nun 1
obtain 1
occupied 1
of 43
off 5
offering 1
offers 2
old 1
ole 3
on 10
once 2
only 2
operation 1
or 1
order 1
originally 1
other 2
out 16
outside 2
over 1
own 1
owned 1
owner 1
oxford 3
paramour 1
parents 1
paris 1
party 1
passes 1
pay 3
pensacola 1
perjuring 1
phone 1
picking 1
piece 1
place 8
planned 1
plans 1
playnovel 1
plight 1
police 4
popeye 21
popular 1
possible 1
powerful 1
presence 1
pretty 1
prevailing 1
proceeds 1
proposed 1
protect 1
provoke 1
public 1
put 1
puts 1
quart 1
quickly 1
raid 1
rape 2
raped 3
read 1
reality 1
realizes 1
reasonable 1
reba 9
recklessness 1
recognized 1
red 7
refuses 3
reluctant 1
remain 1
remembers 1
repelled 1
reputation 1
requiem 1
respects 1
returning 1
returns 4
revelation 1
ride 3
road 1
roadhouse 1
room 6
rooms 1
rousing 1
ruby 13
run 1
runs 2
sanctuary 2
sartoris 1
satisfy 1
says 1
scarce 1
school 2
scrawled 1
second 1
see 1
seem 1
seen 1
sees 1
sell 2
senator 2
sense 1
sent 1
sequel 1
seriously 1
servant 1
sets 1
settle 1
several 2
sex 4
shack 1
shaken 1
shallow 1
share 1
shares 1
she 16
shocking 2
shot 1
show 1
shows 1
sic 1
sickly 1
silently 1
simultaneously 1
sin 1
sinister 1
sister 6
sitting 1
slinks 1
sneak 1
snopes 6
so 5
societal 1
society 1
some 4
something 1
son 2
soon 4
sordid 1
speaks 1
speeds 1
spouse 1
spurns 1
stand 1
starkville 3
state 1
station 2
stay 5
steadily 1
stepdaughter 1
stevens 1
still 2
stop 1
stops 1
story 1
strange 1
strong 1
student 1
stuns 1
such 1
suddenly 1
supposed 2
surveillance 1
sympathetic 1
take 1
taken 2
takes 3
talk 1
task 1
taylor 1
tell 2
tells 7
temple 40
terrified 3
testimony 1
than 1
that 30
the 100
them 6
themselves 1
then 3
there 5
they 2
thinks 1
this 4
thoroughly 1
though 2
throw 1
times 2
to 79
tommy 8
too 1
tortured 1
touch 1
tow 1
toward 1
town 9
train 6
tree 1
trial 2
tries 5
trip 1
truth 1
turned 1
turns 1
two 1
unacceptable 1
unctuous 1
under 2
underworld 1
university 1
unsuccessfully 1
unwelcome 1
up 5
upon 1
urges 1
vacant 1
valuable 1
van 6
via 1
virginia 3
virtue 1
visit 2
visits 2
waiting 1
wanders 1
wants 1
warns 1
was 7
watches 1
watching 1
water 1
way 4
weight 1
wellknown 1
what 1
when 3
whenever 1
where 7
which 7
while 2
whiskeyrunning 1
whisky 1
who 19
whom 1
widowed 2
wife 5
will 6
wishes 1
with 30
without 1
woman 2
works 1
world 1
worried 1
would 1
wouldbe 1
wouldnt 1
wretched 1
writes 2
wrongly 1
years 1
yet 1
yoknapatawpha 1
young 2
