3481006
/m/09fsp5
/m/09fsp5
Elio Vittorini
1941
{"/m/02xlf": "Fiction"}
15 1
a 6
abandoned 1
adult 1
after 1
age 2
alive 1
an 1
and 3
apparently 1
as 1
at 2
beset 1
brother 1
by 1
calm 1
closes 1
conscious 1
conversation 1
conversations 1
dead 1
decides 1
drunken 1
ends 1
father 3
feelings 1
feet 1
ferrauto 4
from 2
has 3
have 1
he 3
his 8
hopelessness 2
in 4
is 1
kitchen 1
leaving 1
letter 1
milan 1
mother 3
new 1
not 1
novel 1
number 1
of 5
on 2
or 1
point 1
receiving 1
return 1
reveals 1
scrubs 1
seems 2
sicilian 1
sicilians 1
sicily 5
silvestro 1
since 1
sobbing 1
state 1
strange 1
that 1
the 8
then 1
thought 1
to 6
train 1
typesetter 1
understanding 1
up 1
various 1
view 1
visit 1
visited 1
was 2
way 1
when 1
which 1
whilst 1
who 1
with 3
without 1
working 1
