16095782
/m/03qp1tt
/m/03qp1tt
Tom Godwin
1958
{"/m/06n90": "Science Fiction"}
15 1
164 1
500 1
a 5
aboard 1
acceptables 2
aggressive 1
alien 1
along 1
an 1
and 4
are 2
as 4
ashore 1
athena 2
attacked 1
away 1
barbarians 1
be 1
become 1
book 3
but 1
by 3
called 2
combined 1
comic 1
contains 1
counts 1
creatures 1
cruelty 1
deadly 2
decimates 1
divided 1
early 1
earth 2
earthlike 2
ellis 1
empire 1
expansion 1
favorites 1
fever 1
follows 1
for 3
forced 1
from 2
generations 1
genre 1
gerns 4
gleeful 1
goal 1
going 1
gravity 1
happen 1
have 1
heading 1
his 1
hours 1
humans 1
i 1
in 4
into 1
invaders 1
is 5
isnt 1
it 3
its 2
just 1
kills 1
labor 1
light 1
little 1
many 1
metal 1
more 1
must 1
nearest 1
not 1
novel 1
novels 1
of 4
on 2
one 1
ores 1
people 1
phase 1
planet 2
populated 1
population 1
quickly 1
ragnarok 2
read 1
realise 1
rejects 4
repay 1
return 1
rips 2
say 1
senses 1
sequel 1
several 1
shamelessly 1
ship 1
short 1
should 1
slave 1
so 1
space 1
stranded 1
suddenly 1
survive 1
terrible 1
than 1
that 5
the 17
their 2
there 2
they 2
this 1
through 1
times 2
to 4
try 1
twenty 1
unswerving 1
usable 1
warren 1
way 1
will 1
with 1
word 1
would 1
writer 1
writing 1
years 1
