4373204
/m/0bztzh
/m/0bztzh
Scott Westerfeld
2004
{"/m/06n90": "Science Fiction", "/m/01hmnh": "Fantasy"}
13 1
15yearold 1
25hourday 1
a 18
abilities 1
ability 1
able 1
about 1
acrobat 1
actually 1
advances 1
aerospace 1
after 3
again 1
air 1
all 1
allows 1
along 2
also 2
although 1
an 2
ancient 1
and 20
angry 1
animals 1
any 1
are 7
arrested 1
arrives 2
as 3
at 2
attack 2
attacks 1
avoid 2
awakens 1
away 1
badlands 2
be 3
becoming 1
before 2
beforehand 1
bixby 3
born 1
boy 1
breached 1
but 1
by 3
can 4
cat 3
causes 1
chase 1
chased 1
clothes 1
collapse 1
company 1
complex 1
concepts 1
considerably 1
couldnt 1
creatures 1
curfew 1
darkling 2
darklings 7
day 2
decides 1
defenses 3
desperate 1
dess 3
discover 1
discovers 1
disgusted 1
does 1
dont 2
dream 1
each 2
eleven 1
employed 1
enforcing 1
enter 1
escape 1
every 1
except 1
explain 2
family 2
fear 1
find 2
finds 1
fire 1
flamebringer 1
flashlight 1
fly 1
flying 2
for 3
form 1
freezes 1
from 2
frozen 2
get 4
gravity 1
grounded 1
group 1
happens 1
has 2
hate 1
have 1
he 2
her 14
hid 1
hide 1
hightech 1
him 3
history 1
hold 1
home 1
hour 7
house 2
how 1
however 1
human 1
implying 1
in 8
inside 3
intent 1
into 1
inventions 1
is 15
isnt 1
it 9
jealous 1
jessica 11
jonathan 2
just 1
kill 1
killing 1
know 2
known 1
large 1
late 1
leads 1
leave 1
leaving 1
letter 1
live 1
living 1
lore 1
make 1
meaning 1
meanwhile 1
melissa 3
mid 1
midnight 3
midnighter 1
midnighters 8
mindcaster 1
moment 1
month 1
most 1
mother 1
move 1
moves 1
narrowly 1
new 1
next 3
night 1
none 1
normally 1
not 1
number 1
oclock 1
of 11
oklahoma 1
on 3
once 1
one 1
only 3
other 3
out 2
outside 2
pair 1
people 3
pit 1
place 1
plan 1
policemen 1
polymath 1
power 4
protection 2
rain 1
read 1
realizes 1
rely 1
rescued 1
rest 1
revealing 1
rex 6
room 1
safely 1
same 1
school 1
secret 4
seer 1
sets 1
she 7
slither 1
slithers 1
snake 2
so 3
someone 1
soon 1
special 1
steel 1
still 1
stopped 1
strong 1
suicidally 1
suspicious 2
take 1
takes 1
talking 1
technology 2
telepathic 1
that 10
the 40
theirs 1
them 3
they 7
thing 1
thinks 1
thirteen 1
this 1
ticking 1
time 2
to 16
took 1
transforms 1
unfortunately 1
up 1
use 1
uses 1
using 1
variety 1
wakes 1
was 1
watch 1
weakening 1
wet 1
what 1
when 1
where 2
which 2
who 4
why 1
will 1
with 3
words 1
