7292230
/m/025ydbx
/m/025ydbx
Peg Kehret

a 1
abby 6
abbys 1
accident 1
afloat 1
all 1
and 9
ankle 1
are 4
at 1
attention 1
barking 1
be 1
beaverville 1
breaks 1
but 3
by 3
california 1
calm 1
can 1
could 1
crawls 1
day 1
decision 1
difficult 1
distressed 1
dog 1
down 3
due 1
during 2
earthquake 1
everything 1
family 1
for 1
frantically 1
frightened 1
get 3
go 2
going 2
ground 1
has 1
her 4
herself 1
high 1
hospital 1
if 1
in 1
is 3
islands 1
it 1
jonathan 5
kids 2
knows 1
leave 2
leaving 1
legs 1
magpie 1
make 1
moose 1
mr 1
mrs 1
night 1
not 1
old 1
on 4
palmer 3
paralyzed 1
partially 1
pour 1
rain 1
right 1
river 2
rumbling 1
see 1
shaking 1
she 5
shore 1
singing 1
situation 1
so 1
some 1
songs 1
starts 3
stay 1
stops 1
tells 1
that 2
the 13
their 2
them 1
themselves 2
then 2
there 1
they 3
to 13
trees 2
tries 1
trip 2
trying 1
two 1
uses 1
usually 1
very 1
walker 1
was 2
water 1
when 2
with 1
worry 1
years 1
