10220451
/m/02q5n2b
/m/02q5n2b
Frank Yerby


a 3
alcibiades 1
an 1
and 9
are 1
ariston 2
as 1
athenian 1
athens 2
battlefield 1
beauty 1
blessed 1
brilliant 1
brothel 1
brought 1
brutal 1
burgeoning 1
by 1
code 1
cruelty 1
culture 1
cursed 1
decadence 1
dionysian 1
discourse 1
earns 1
enslaved 1
excessive 1
face 1
festering 1
fortune 1
found 1
freedom 1
he 1
hellenic 1
helot 1
here 1
hero 1
his 1
ideal 1
is 2
market 1
matchless 1
of 6
only 1
revel 1
sexuality 1
slave 1
socrates 1
sophistication 1
sparta 2
spartiate 1
temple 1
that 1
the 10
this 1
time 1
to 2
was 2
where 1
