19254994
/m/04lg8md
/m/04lg8md
Bob Woodward
2008-09-08
2006 1
a 2
abizaid 1
achieved 1
administration 2
adopting 1
advice 1
adviser 2
after 1
against 1
allegedly 1
alleges 1
almost 1
also 1
and 10
argues 1
as 3
at 1
attained 1
based 1
be 1
because 1
begins 1
book 6
bush 6
by 1
calls 1
casey 1
chances 1
congress 1
congressional 1
consider 1
control 2
david 1
decided 1
deep 1
defense 1
deferring 1
delayed 1
delegated 1
democratic 1
deputy 1
described 1
describes 2
devised 1
disillusioned 1
divisive 1
doing 1
donald 1
down 1
drawing 1
during 1
either 1
elections 1
existed 1
expected 1
explain 1
fail 1
failure 1
fear 1
fighting 1
figure 1
finally 1
finding 1
for 2
forces 1
foreign 1
general 2
generals 2
george 1
grows 1
h 1
had 3
hadley 1
he 4
him 1
his 4
house 1
hurt 1
ideas 1
in 3
investigation 1
iraq 1
iraqis 1
it 4
j 1
jack 1
john 1
johnson 1
judgment 1
keane 1
l 1
largely 2
lauds 1
leaked 1
leaving 1
leveled 1
lost 1
lyndon 1
majority 1
management 1
meghan 1
micromanagement 1
more 1
most 1
national 2
nations 1
nevertheless 1
new 1
not 3
of 10
officials 1
on 3
or 1
osullivan 1
other 2
out 1
party 2
peace 1
perception 1
petraeus 1
policy 1
president 4
public 1
rarely 2
realism 1
refused 1
reports 1
representatives 1
republican 1
republicans 1
resigning 1
responsibility 1
retired 1
rooted 1
rumsfeld 1
same 1
saying 1
secretary 1
security 2
senate 1
serious 1
should 1
solely 1
sought 1
staff 1
states 2
stephen 1
strategy 4
supports 1
takeover 1
terror 1
that 4
the 31
their 1
time 1
to 7
transferring 1
two 1
unless 1
urge 2
us 1
vast 1
victory 1
vietnam 1
voice 1
war 3
wars 1
was 2
what 2
wherever 1
with 1
within 1
world 1
would 1
