9263976
/m/02824q5
/m/02824q5
John Ford

a 13
about 1
abroad 1
accompanied 1
accused 1
action 1
alleviate 1
also 1
amethus 1
an 1
and 19
appears 1
are 1
aretus 1
arrogance 1
as 2
at 3
away 1
backstory 1
become 2
becomes 3
between 1
brother 1
but 2
by 5
care 1
carry 1
castle 1
century 1
character 1
characters 1
clearly 1
cleophila 3
comes 1
comic 1
complex 1
conceits 2
condition 1
consequence 1
contests 1
convalesces 1
corax 1
course 2
court 1
courtier 1
courtiers 1
courtly 1
cousin 1
cuculus 2
cult 1
cure 1
cures 1
cyprus 4
daughter 1
daughters 1
debates 1
deep 1
depression 2
desire 1
despair 1
devoted 1
dies 1
disguise 2
disguises 1
due 1
enamored 1
eroclea 6
erocleaparthenophill 1
escape 1
extravagant 2
faithful 1
fallen 1
fashionable 1
father 3
fiction 1
fool 1
foolish 1
for 3
ford 2
free 1
friend 1
from 1
grilla 1
had 1
has 2
haughty 1
he 3
her 6
himself 1
his 11
holds 1
honors 1
humility 1
ill 1
in 14
inexperience 1
influenced 1
involved 1
is 16
it 1
journey 1
letters 1
lord 1
love 5
lovejargon 1
loves 1
man 1
marries 1
match 1
mdash 3
melancholy 2
meleander 5
menaphon 3
mentally 1
met 1
minister 1
mired 1
mistress 1
nephew 1
new 2
nobleman 1
now 2
nurse 1
obligation 1
of 25
on 1
only 1
out 1
over 1
page 1
palador 7
parthenophill 3
pelias 1
pen 1
perhaps 1
physician 1
planning 1
play 4
playwright 1
plot 1
poems 1
portraying 1
possesses 1
prime 1
prince 1
prominent 2
proposes 1
protect 1
protecting 1
psychiatric 1
rank 1
recite 1
reduced 1
relative 1
relief 1
result 1
returned 1
revealed 3
revelation 1
rhetias 1
ridicule 1
ruler 4
satirical 1
secret 1
selfassured 1
servant 1
shocked 1
sighs 1
similitude 1
some 1
son 1
sophronos 1
speak 1
spirit 1
spirited 1
start 1
still 1
stricken 1
stripped 1
strongly 1
subgenre 1
succeeded 1
successor 1
suitor 1
supplied 1
symptom 1
tears 1
tempe 1
thamasta 2
that 3
the 31
they 1
this 1
through 2
time 1
to 5
too 1
travel 1
treason 1
troublesome 1
try 1
tunes 1
tutor 1
twentieth 1
two 2
under 1
undertaken 1
unhappy 1
unknown 1
unsatisfied 1
unusually 1
up 1
vain 1
vale 1
violently 1
virtue 1
well 1
when 2
whereabouts 1
which 1
whining 1
who 2
wife 1
win 1
with 3
woo 1
worked 1
would 1
young 1
