2244361
/m/06ysqv
/m/06ysqv
Jamie O'Neill
2001
116 2
a 15
about 2
action 1
acts 1
additional 1
affectionate 1
after 1
alcoholism 1
all 1
alone 1
also 2
amen 1
an 4
and 20
another 1
anthony 1
apart 1
appear 1
approach 1
are 1
area 1
army 3
as 9
at 5
attends 1
attracted 1
attracting 1
aunt 1
away 1
back 1
band 4
battalion 1
bay 1
be 1
becomes 1
been 1
before 2
befriends 1
being 1
best 1
body 1
boer 1
both 2
boy 1
boys 5
brave 1
brother 2
brothers 1
but 4
by 3
can 1
cannot 2
carry 1
catholic 1
caught 1
chance 1
church 4
citizen 1
claim 2
claiming 1
clergy 1
close 1
confessing 1
connection 1
continues 1
contrast 1
conversing 1
dead 1
desires 1
determined 1
discovers 1
distant 1
do 1
does 1
done 1
down 1
downtown 2
doyle 2
doyler 21
driven 1
drowning 1
dublin 5
during 2
duties 2
each 1
earning 1
easter 5
emotionally 1
england 1
enters 1
eveline 4
even 1
extra 1
fails 1
family 2
fascination 1
fatally 1
fate 1
father 3
fathers 1
feels 1
fighting 2
find 1
finds 1
flag 1
flute 3
follow 1
foot 2
for 9
forty 2
friend 1
friends 1
friendship 2
from 4
garden 2
go 1
goes 1
grabs 1
green 1
gross 1
grow 1
grows 1
has 3
have 3
having 1
he 7
heart 1
help 1
her 1
hidden 1
him 4
himself 2
his 17
home 2
homosexuality 1
homosexuals 1
house 1
however 1
idea 1
ideals 1
illness 1
impoverished 1
imprisonment 2
in 17
indecency 1
internal 1
intimately 1
introduces 1
ireland 1
irish 6
is 16
island 1
islands 1
it 2
jim 20
join 1
joins 2
just 1
kilts 1
knowing 1
known 1
latin 1
leading 1
leaves 1
leaving 1
left 1
liberty 1
like 1
likes 1
looked 1
love 3
mack 2
macmurrough 16
madame 1
make 3
marriage 1
meantime 1
meanwhile 2
meet 1
member 1
memories 1
men 1
mentor 1
might 1
moreover 1
morning 1
mr 2
muglins 3
nationalist 1
nave 1
nephew 1
next 1
night 1
not 2
novel 1
object 1
obsession 1
occurring 1
of 20
offered 1
old 1
on 5
once 2
one 1
only 2
open 1
other 1
others 1
otoiler 1
out 3
outcast 1
outspoken 1
own 1
pact 3
pal 1
particular 1
party 1
past 1
patriotic 3
patriots 1
philosophy 1
physical 1
place 2
plays 1
politics 1
polycarp 2
poverty 1
prayer 1
presence 1
pride 1
prisonmate 1
prosperous 1
proud 1
pushes 1
pushing 1
quiet 1
realize 1
rebellious 1
received 1
reconsiders 1
recovers 1
redeem 1
refusing 1
regimental 1
regularly 1
relationship 1
reminds 1
renew 1
renewed 1
reputation 1
rescues 1
resemble 1
resign 1
responsible 1
rests 1
return 1
reunited 1
rid 1
rising 2
rock 1
scholarship 2
school 3
scrotes 1
searching 1
seeing 1
sees 1
served 2
sessions 1
set 1
sexual 1
socialist 1
society 2
soldier 1
stage 1
standing 1
still 1
story 1
stricken 1
studious 1
successfully 1
sunday 3
support 3
supports 1
swim 6
swimming 3
swollen 1
takes 2
teach 1
teacher 1
teaching 1
tells 1
that 1
the 42
their 9
them 3
themselves 1
they 6
thought 1
thoughtful 1
through 2
to 26
together 1
turns 1
two 5
ultimately 1
unable 1
unbeknown 1
uniform 2
up 1
upon 1
vehement 1
visits 2
vocation 2
voice 1
volunteers 1
war 1
way 1
well 2
were 1
what 1
when 2
where 2
which 2
while 1
who 3
will 2
with 5
withdrew 1
withstand 1
work 1
works 1
wounded 1
year 1
young 1
