10999161
/m/02qxq3p
/m/02qxq3p
Alan Hopgood

10 1
2 1
30 1
a 18
able 1
about 4
achilles 24
actual 1
actually 2
all 6
already 1
and 46
angry 2
anymore 1
anyone 1
anything 3
anywhere 1
are 3
arent 1
around 2
arrive 1
arrived 1
as 6
assistant 1
at 6
back 2
bad 2
bag 1
ball 2
be 2
beautiful 1
because 3
been 2
before 3
begun 1
believe 1
best 1
bet 2
better 1
between 2
big 5
bit 1
books 1
boots 1
both 1
box 1
bribing 1
bursts 1
but 4
by 2
came 1
can 3
cant 1
care 1
championship 5
chance 1
coach 1
coat 1
coates 3
come 2
commentary 1
commentators 1
convince 2
convincing 2
could 1
couldnt 2
crowd 1
crows 4
cup 1
day 2
days 1
decent 1
decide 4
decided 1
decides 3
decision 2
did 2
didnt 3
died 1
disliked 1
do 3
doesnt 2
done 1
dont 1
draw 1
drive 1
end 3
ends 1
enemies 1
enough 1
even 2
every 1
excellently 1
farm 3
few 1
field 5
fight 3
final 4
finally 1
find 2
first 4
football 6
for 9
forbes 1
found 2
from 1
fur 1
game 11
games 1
gave 1
get 9
gets 3
getting 2
give 1
go 3
god 2
going 9
gone 1
got 4
grand 4
greek 2
gun 1
guy 1
had 5
happy 2
has 3
have 4
havent 1
he 31
heard 1
her 4
him 11
his 6
hits 1
home 1
hopefully 1
horse 1
i 1
if 2
in 5
injures 1
inside 1
into 3
is 11
it 5
ive 2
jj 14
jones 1
just 2
keep 1
kept 2
kick 4
kill 1
knew 1
later 1
law 1
les 4
lies 2
life 1
like 1
lil 5
little 1
live 1
lives 1
lose 3
lot 1
lots 1
luckily 1
mad 1
made 1
make 4
making 1
man 1
manangatang 1
match 1
mate 1
meet 2
melbourne 1
milly 1
more 1
much 1
near 2
needs 1
neighbors 1
never 3
new 2
next 1
nice 2
night 1
nonsense 1
not 1
nothing 2
of 14
off 1
oh 1
on 12
once 1
only 2
onto 3
or 2
out 11
over 1
participation 1
partly 2
partner 1
past 1
payback 1
performance 1
phone 1
plan 1
play 10
player 1
playing 2
point 1
private 2
psychiatrist 1
public 2
pushing 1
put 1
radio 2
rang 2
recruit 1
report 1
rescheduled 1
rewrite 1
room 1
rules 1
run 2
said 1
saying 1
says 1
score 1
screaming 1
season 3
see 2
seem 1
seen 1
send 1
sends 1
sent 1
set 1
she 1
shot 1
show 1
showcase 1
sitting 1
so 8
some 1
someone 1
something 1
sorts 1
spend 1
start 3
started 1
starts 1
still 1
stop 2
stories 1
story 1
straight 2
stressed 1
stressful 1
strong 1
stuff 2
suddenly 1
talent 1
taught 1
tea 1
team 2
tell 1
telling 2
than 1
that 27
the 67
their 2
them 6
then 4
there 1
they 15
things 3
think 2
thinks 2
this 14
thought 1
threatens 1
three 1
through 2
time 2
tire 1
to 46
together 1
told 5
too 1
training 1
try 2
trying 1
two 1
university 1
until 1
up 7
upset 1
very 2
wages 1
wally 12
want 2
wanted 2
was 11
way 2
we 1
wearing 1
week 2
weeks 1
went 2
were 1
what 2
wheat 1
when 5
where 3
whether 1
which 2
while 2
who 1
wild 1
will 2
williams 3
williamses 7
win 2
with 6
without 1
wobbly 5
wont 1
working 1
worried 1
worst 1
would 4
wouldnt 2
wrong 1
yards 1
yearly 1
years 1
yelling 1
you 2
youve 1
