3790904
/m/0b05pv
/m/0b05pv
Sharon Creech
1997
a 6
accidentally 1
afterwards 1
against 1
age 1
all 1
also 1
always 1
an 1
and 8
are 1
around 1
as 3
at 1
attempt 1
aunt 5
be 1
because 1
becomes 1
before 2
begins 1
blamed 1
blames 1
boone 1
boy 1
by 1
call 1
camps 1
care 1
caught 1
clear 3
cleared 1
clearing 1
cope 1
cough 2
creech 1
daughter 1
death 3
decides 1
device 1
died 1
dies 1
end 1
enjoys 1
entire 1
feelings 2
finally 1
find 1
finds 1
fits 1
flashbacks 1
for 2
forgiven 1
from 1
get 2
girl 1
god 1
grief 2
guilt 1
had 1
has 1
have 1
her 14
herself 2
home 2
hundred 1
in 3
is 3
it 1
jake 2
jessie 3
just 1
large 1
later 1
learns 1
length 1
life 1
like 1
literary 1
live 1
may 1
must 1
named 1
nate 2
obsession 1
of 6
old 2
older 1
on 1
once 1
only 1
or 1
out 2
outrageous 1
over 2
overgrown 1
own 1
parents 1
prefers 1
preoccupied 1
quiet 1
rediscovers 1
returns 1
rose 4
same 1
she 7
showing 1
siblings 1
sister 1
snippets 1
snug 1
some 1
something 1
sometimes 1
soon 1
spend 1
starts 1
story 2
summer 1
taylor 2
that 3
the 17
they 1
thinking 1
thirteen 1
this 1
through 1
throughout 2
time 2
to 13
trail 7
travel 1
tries 1
try 1
two 1
uncle 2
unexpectedly 1
uses 1
using 1
very 1
was 1
way 2
what 1
when 1
whether 1
who 2
whooping 1
with 3
year 1
years 2
yet 1
zinnia 1
zinny 10
