11364514
/m/02r9202
/m/02r9202
Shaun McKenna


a 5
about 1
again 1
along 1
also 1
always 1
an 2
ancient 1
and 31
approach 1
aragorn 4
are 2
arwen 6
as 3
asserts 1
assistance 1
at 4
attack 1
attempts 1
awaiting 1
baggins 2
balrog 1
battle 3
be 1
becomes 1
beloved 1
betray 1
bidding 1
bilbo 1
birthday 2
black 1
boromir 3
brandybuck 1
bree 1
bruinen 1
but 2
by 7
calls 1
can 1
carry 1
casts 1
cat 1
celebrates 1
city 3
confronts 1
conquer 1
continues 1
corrupt 1
could 1
council 1
country 1
creature 2
dance 1
dark 1
darkness 1
decided 1
defeat 1
desired 1
desires 2
destroyed 2
doom 2
duet 1
dwarf 1
dwarfmines 1
dwarves 1
each 1
eccentric 1
eleventh 1
elf 1
elrond 1
elven 2
elves 2
epilogue 1
erendil 2
escape 1
evil 3
falls 3
farewell 1
farewells 1
father 1
fellow 2
fellowship 4
final 2
finale 1
fire 1
fires 1
flee 1
flight 1
for 3
forces 3
ford 2
forever 1
four 1
friend 1
friends 2
frodo 12
from 5
galadriel 2
gamgee 1
gandalf 3
gimli 1
goes 1
golden 1
gollum 4
gollumsmagol 1
good 1
great 3
greatest 1
greatly 1
grey 1
guests 1
guide 1
halfelven 1
hand 1
have 1
he 2
heir 1
his 10
hobbit 1
hobbits 3
holy 1
hope 2
human 1
hundred 1
i 1
if 1
in 11
inn 1
instincts 1
intervene 1
into 2
invoke 1
is 6
it 5
its 1
itself 1
joined 1
journey 3
king 1
kings 3
kingship 2
known 1
lady 1
lamath 1
lands 3
lasto 1
leads 1
leave 1
leaving 1
legolas 1
lives 1
long 1
lord 2
lothlrien 2
magic 1
maiden 1
marriage 1
marries 1
meanwhile 2
men 4
merry 2
middleearth 2
monstrous 1
moon 1
mordor 4
moria 1
mount 2
moved 1
must 2
mysterious 1
mystical 1
name 1
now 1
of 39
on 3
one 1
orcs 1
other 1
out 3
own 1
party 1
people 1
personality 1
pippin 2
plans 1
pony 1
possessed 1
power 3
prancing 1
prologue 2
protect 2
pursuit 1
quest 1
ranger 1
reach 2
realm 1
receive 1
reclaim 1
refuge 1
region 1
relative 1
rest 1
resume 1
returns 1
riders 1
ring 9
rivendell 3
road 2
ruined 1
safely 1
sail 1
sam 5
samwise 1
saruman 3
sauron 3
servants 1
set 1
sets 1
settlement 1
she 1
shire 3
side 1
siege 2
sing 2
sings 2
song 3
south 1
spells 1
springle 1
star 2
stories 1
strider 2
take 1
takes 2
that 2
the 72
their 7
them 1
they 1
those 1
three 1
time 1
to 16
took 1
treasure 1
true 1
trust 1
twisted 1
under 1
urging 1
use 1
vanishing 1
village 1
warrior 1
wealthy 1
wearied 1
west 1
when 1
where 2
which 1
who 2
whom 1
whose 1
will 2
wisdom 1
with 2
wizard 2
wonder 1
wood 1
world 1
young 1
